yield	etf
14.27	0.00244332095012754
22.31	0.00434223582100068
43.71	0.0048666821851753
21	0.00497504257329161
21.28	0.00434264820654101
5.25	0.00419466214337122
8.42	0.00942844491349096
18.18	0.00765553126503883
10.02	0.00975262564261791
17.81	0.0100791854210207
15.6	0.0108577104989048
8.55	0.00915535531485284
6.4	0.0111939097767484
7.65	0.00861324994540698
7	0.00939689948243656
25.34	0.0100527552768273
10.59	0.0168888414914384
24.41	0.0205668566621851
18.09	0.0201909779935689
61.11	0.0159209555920391
29.27	0.0142217158880855
15.14	0.0155241326246856
17.89	0.0205830477603683
18.65	0.0213934488439308
15.33	0.0171811363048332
59.84	0.0192237181432126
34.93	0.0200123796273652
45.3	0.0445733403930843
12.18	0.0378169446700579
14	0.0389382291916561
40.69	0.0383216600548579
11.48	0.0376950682074166
6.55	0.0419042304091401
8.4	0.0364552256290334
53.81	0.0331603004251973
30.91	0.0373803100992779
11.9	0.0366601921049947
9.54	0.0632536465361255
92.73	0.0793607979585352
75.68	0.0726097805339746
8.75	0.0698268121482772
88.89	0.0699722856310153
25.23	0.0730208021178766
