Sample ID	MHL	Yield
6-P-6	9.54E-07	11.49
7-P-14	9.54E-07	21.23
7-P-30	3.81E-06	174.87
7-P-16	3.81E-06	91.77
NC-P-18	3.81E-06	9.45
PC-P-5	3.81E-06	51.35
6-P-1	7.63E-06	13.95
7-P-7	7.63E-06	16.53
NC-P-6	7.63E-06	6.22
PC-P-7	7.63E-06	40.25
6-P-3	1.53E-05	31.70
7-P-5	1.53E-05	20.26
7-P-13	1.53E-05	18.50
7-P-26	1.53E-05	23.57
NC-P-14	1.53E-05	7.85
NC-P-29	1.53E-05	5.45
7-P-6	3.05E-05	21.47
7-P-23	3.05E-05	12.51
NC-P-8	3.05E-05	5.92
NC-P-27	3.05E-05	6.20
6-P-25	6.10E-05	46.40
7-P-17	6.10E-05	65.67
7-P-28	6.10E-05	12.00
NC-P-3	6.10E-05	22.60
NC-P-17	6.10E-05	6.30
NC-P-25	6.10E-05	4.15
6-P-5	0.00012207	21.97
6-P-9	0.00012207	23.54
NC-P-1	0.00012207	12.31
PC-P-3	0.00012207	85.89
PC-P-6	0.00012207	47.94
NC-P-7	0.000244141	10.29
NC-P-15	0.000244141	5.90
NC-P-16	0.000244141	7.00
NC-P-26	0.000244141	3.60
6-P-8	0.000488281	9.83
NC-P-30	0.000488281	4.95
6-P-4	0.000976563	48.49
6-P-11	0.000976563	31.95
6-P-28	0.000976563	130.21
NC-P-2	0.000976563	13.65
NC-P-12	0.000976563	8.15
NC-P-21	0.000976563	10.25
NC-P-22	0.000976563	9.00
6-P-10	0.001953125	14.27
6-P-18	0.00390625	22.31
7-P-1	0.00390625	43.71
7-P-8	0.00390625	21.00
7-P-10	0.00390625	21.28
NC-P-19	0.00390625	5.25
6-P-2	0.0078125	8.42
6-P-19	0.0078125	18.18
6-P-29	0.0078125	10.02
7-P-2	0.0078125	17.81
7-P-29	0.0078125	15.60
NC-P-9	0.0078125	8.55
NC-P-20	0.0078125	6.40
NC-P-23	0.0078125	7.65
NC-P-24	0.0078125	7.00
PC-P-1	0.0078125	25.34
6-P-7	0.015625	10.59
6-P-14	0.015625	24.41
6-P-16	0.015625	18.09
6-P-20	0.015625	61.11
6-P-23	0.015625	29.27
6-P-24	0.015625	15.14
6-P-26	0.015625	17.89
6-P-30	0.015625	214.09
7-P-3	0.015625	18.65
7-P-12	0.015625	15.33
7-P-20	0.015625	59.84
PC-P-8	0.015625	34.93
6-P-13	0.03125	45.30
7-P-9	0.03125	12.18
7-P-15	0.03125	14.00
7-P-19	0.03125	40.69
7-P-25	0.03125	11.48
NC-P-5	0.03125	6.55
NC-P-13	0.03125	8.40
PC-P-2	0.03125	53.81
PC-P-4	0.03125	30.91
PC-P-9	0.03125	11.90
6-P-15	0.0625	9.54
6-P-27	0.0625	92.73
7-P-4	0.0625	75.68
7-P-11	0.0625	8.75
7-P-21	0.0625	88.89
PC-P-10	0.0625	25.23
6-P-12	0.125	13.97
6-P-17	0.125	16.63
6-P-21	0.125	17.01
6-P-22	0.125	84.00
7-P-27	0.125	40.77
