	value	Group
1	NA	NPT
2	NA	NPT
3	NA	NPT
4	NA	NPT
5	NA	NPT
6	NA	NPT
7	NA	NPT
8	0.0555555555555556	NPT
9	NA	NPT
10	0	NPT
11	NA	NPT
12	NA	NPT
13	0	NPT
14	0	NPT
15	0.103942652329749	NPT
16	0	NPT
17	0	NPT
18	0	NPT
19	0	NPT
20	0.00378787878787879	NPT
21	NA	NPT
22	0	NPT
23	0	NPT
24	0.0518518518518519	NPT
25	0.0698412698412698	NP-Kun
26	0	NP-Kun
27	NA	NP-Kun
28	NA	NP-Kun
29	NA	NP-Kun
30	NA	NP-Kun
31	0	NP-Kun
32	0	NP-Kun
33	NA	NP-Kun
34	NA	NP-Kun
35	0	NP-Kun
36	NA	NP-Kun
37	NA	NP-Kun
38	NA	NP-Kun
39	0.0555555555555556	NP-Kun
40	0	NP-Kun
41	NA	NP-Kun
42	0	NP-Kun
43	0.138888888888889	NP-Kun
44	NA	NP-Kun
45	NA	NP-Kun
46	NA	NP-Kun
47	NA	NP-Kun
48	0	NP-Kun
49	NA	NP-Kun
50	0	NP-Kun
51	0	NP-Kun
52	NA	NP-Kun
53	NA	NP-Kun
54	NA	NP-Kun
55	NA	NP-Kun
56	0	NP-Kun
57	NA	NP-Kun
58	0	NP-Kun
59	0	NP-Kun
60	NA	NP-Kun
61	NA	NP-Kun
62	NA	NP-Kun
63	NA	NP-Kun
64	0.138888888888889	NP-Kun
65	NA	NP-Kun
66	0.00155038759689922	NP-Kun
67	0	NP-Kun
68	NA	NP-Kun
69	NA	NP-Kun
70	NA	NP-Kun
71	NA	NP-Kun
72	0	NP-Kun
73	NA	NP-Kun
74	0	NP-Kun
75	0	NP-Kun
76	NA	NP-Kun
77	NA	NP-Kun
78	NA	NP-Kun
79	NA	NP-Kun
80	0	NP-Kun
81	NA	NP-Kun
82	0	NP-Kun
83	0	NP-Kun
84	0	NP-Kun
85	NA	NP-Kun
86	NA	NP-Kun
87	0	NP-Kun
88	0	NP-Kun
89	NA	NP-Kun
90	0	NP-Kun
91	NA	NP-Kun
92	0	NP-Kun
93	NA	NP-Kun
94	0	NP-Kun
95	0.0416666666666667	NP-Kun
96	0.0333333333333333	NP-Kun
97	NA	NP-Kun
98	0	NP-Kun
