	cen	mhl
1	0.999999046325684	0.579878190465181
2	0.999998092651367	0.574309456666184
3	0.999996185302734	0.569604332413685
4	0.999992370605469	0.571083083078517
5	0.999984741210938	0.577651921924609
6	0.999969482421875	0.579918063039683
7	0.99993896484375	0.574885259969878
8	0.9998779296875	0.568811871121304
9	0.999755859375	0.574180115048891
10	0.99951171875	0.570361395868522
11	0.9990234375	0.576678892929953
12	0.998046875	0.570709517573249
13	0.99609375	0.573668759995421
14	0.9921875	0.567320360413216
15	0.984375	0.564226512101632
16	0.96875	0.539256039402555
17	0.9375	0.519158212962367
18	0.875	0.466740246306155
19	0.75	0.375958160215845
20	0.5	0.226063059802178
21	0.25	0.109113263497897
22	0.125	0.0600691919088052
23	0.0625	0.0374758061892134
24	0.03125	0.0261680823108791
25	0.015625	0.0204921630062136
26	0.0078125	0.0189079876009566
27	0.00390625	0.0175189962214588
28	0.001953125	0.0175226393178545
29	0.0009765625	0.0170483381067788
30	0.00048828125	0.0168257756823731
31	0.000244140625	0.0165704757286866
32	0.0001220703125	0.0161473278861671
33	6.103515625e-05	0.0158288314712338
34	3.0517578125e-05	0.0164234019949023
35	1.52587890625e-05	0.0157652859868205
36	7.62939453125e-06	0.0160761437518736
37	3.814697265625e-06	0.0158959605988664
38	1.9073486328125e-06	0.0154533629178791
39	9.5367431640625e-07	0.0160711680592037
