ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-112316	R-HSA-112316	Neuronal System	117/2024	413/10619	2.04043816881198e-06	0.00239504672105765	0.00220994723860456	PTPRF/SLC1A2/SLC6A12/SLC6A13/GLS2/MDM2/ARHGEF7/KCNH5/GABRG3/KCNH6/KCNJ2/PRKACA/SLC17A7/EPB41L5/SNAP25/EPB41L1/PPM1F/NLGN1/IL1RAP/ADCY1/KCNAB2/KIF17/GRIK3/KCNQ4/GNAI3/KCNK1/ACTN2/CACNB2/GAD2/CAMK2G/KCNMA1/AP2A2/KCNQ1/PPFIBP2/RTN3/NRXN2/PPFIA1/SHANK2/GRM5/GRIK4/KRAS/PPFIBP1/GRIP1/KCNMB4/LIN7A/ALDH2/SIPA1L1/NRXN3/KCNK10/KCNK13/APBA2/CHRFAM7A/CHRNA7/RASGRF1/NTRK3/ADCY9/GRIN2A/PRKCB/CACNG3/NSF/PPM1E/PRKCA/KPNA2/PRKAR1A/DLGAP1/GNAL/KCNG2/GNG7/CACNA1A/KCNK3/NRXN1/LRRTM4/CACNB4/ERBB4/PLCB1/DLGAP4/SRC/KCNG1/GRIK1/MAPK1/SYN3/PICK1/SYN2/KCNH8/CACNA2D2/CACNA2D3/ADCY5/KCNAB1/HTR3E/CHRNA9/CAMK2D/GLRB/ADCY2/RASGRF2/CAMK4/GABRB2/LRFN2/RIMS1/KCNQ5/GABRR2/GRM1/SLC22A1/PRKAR1B/GNAI1/CACNA2D1/GNGT1/PRKAG2/NRG1/KCNQ3/PTPRD/UNC13B/APBA1/GABBR2/IL1RAPL1/LRFN4/GNG5/TUBB2A	117
R-HSA-194840	R-HSA-194840	Rho GTPase cycle	49/2024	138/10619	3.5614077636545e-06	0.00239504672105765	0.00220994723860456	ARHGEF11/ARHGEF7/SYDE1/ARHGAP35/ARHGAP25/PREX1/KALRN/TRIO/ARHGEF10L/VAV3/RHOU/ARHGAP22/ARHGEF12/SRGAP1/STARD13/ARHGAP5/RHOJ/ARHGAP11B/MYO9A/AKAP13/ARHGAP17/ABR/RHOT1/ARHGAP23/GNA13/RHOQ/ARHGEF4/ARHGAP15/TIAM1/ITSN1/SRGAP3/ARHGEF3/ARAP2/RHOH/ARHGAP24/FAM13A/ARHGAP10/RASGRF2/ARHGAP26/ARHGEF37/ARHGAP18/TIAM2/CHN2/DLC1/ARHGAP39/VAV2/OPHN1/ARHGEF6/ARHGEF2	49
R-HSA-9006934	R-HSA-9006934	Signaling by Receptor Tyrosine Kinases	122/2024	458/10619	3.13312096679726e-05	0.0116229696492799	0.0107246967063205	ARHGEF7/CSK/NCOR1/ERBB2/INSR/PRKACA/KIDINS220/NRP2/LAMA5/RBFOX2/PRR5/RAPGEF1/PRKCZ/VAV3/DNM3/LAMC1/MAPKAPK2/NRP1/NRG3/TIAL1/ADAM12/DOCK1/AP2A2/PPP2R1B/NTF3/PTPRO/KRAS/ITPR2/ATF1/RAP1B/FRS2/KITLG/WASF3/FLT3/FLT1/GTF2F2/HSP90AA1/CYFIP1/USP8/MAP2K5/NTRK3/IGF1R/PCSK6/PRKCB/RANBP10/WWOX/CYBA/JUP/ATP6V0A1/ITGB3/CLTC/PRKCA/YES1/LAMA1/ROCK1/LAMA3/EPS15L1/SPINT2/EPN1/MEMO1/PRKCE/STAM2/ERBB4/COL6A3/ITCH/SRC/PTPN1/TIAM1/MAPK1/GRAP2/ITPR1/DOCK3/PRKCD/PIK3CB/PIK3CA/PAK2/KLB/TEC/PDGFRA/EPGN/EGF/PDGFC/CTNNA1/NRG2/PDGFRB/CYFIP2/MAPK14/LAMA4/TAB2/ESR1/RALA/TNS3/GRB10/EGFR/PTPN12/LAMB1/ATP6V0A4/BRAF/PPP2CB/NRG1/ATP6V1H/PAG1/ATP6V0D2/WWP1/PTK2/JAK2/SHB/PCSK5/NTRK2/SHC3/PTPN3/MAPKAP1/VAV2/COL5A1/VEGFD/COL4A5/CTNND1/ATP6V0C/ESRP2/GRB7/SHC2/PPP2CA	122
R-HSA-1500931	R-HSA-1500931	Cell-Cell communication	44/2024	129/10619	3.45664524885647e-05	0.0116229696492799	0.0107246967063205	NECTIN1/ACTN1/SDK2/ITGB4/F11R/ACTN2/RSU1/PARD3/PARVA/ACTN3/CADM1/KIRREL3/CLDN10/MPP5/IQGAP1/CDH8/CDH1/CDH13/JUP/LAMA3/CDH7/NPHS1/ACTN4/NECTIN2/SPTBN1/SIRPA/SRC/CDH4/CADM2/CD47/PIK3CB/CLDN11/PIK3CA/CDH12/CDH6/CTNNA1/CD2AP/DST/SDK1/SKAP2/MAGI2/PTK2/ARHGEF6/CTNND1	44
R-HSA-6802952	R-HSA-6802952	Signaling by BRAF and RAF fusions	27/2024	67/10619	4.45793193018175e-05	0.0119918368921889	0.0110650563067038	CSK/MPRIP/CAMK2G/VCL/VWF/KRAS/RAP1B/KSR2/MARK3/MAP2K1/IQGAP1/KSR1/ITGA2B/ITGB3/SRC/MAPK1/ATG7/TRAK1/CAMK2D/AP3B1/QKI/SND1/TRIM24/BRAF/AGK/JAK2/FXR1	27
R-HSA-163685	R-HSA-163685	Integration of energy metabolism	38/2024	108/10619	5.39033943396541e-05	0.0120833442311391	0.0111494915660442	RAPGEF3/PRKACA/SNAP25/GNAS/CACNA1D/ADCY1/CHRM3/CACNB2/PPP2R1B/ADIPOR2/CACNA1C/ITPR2/ACACB/IQGAP1/ADCY9/ACACA/PRKCA/PRKAR1A/KCNG2/GNG7/CACNA1A/RAPGEF4/PLCB1/ITPR1/CACNA2D2/ADCY5/ADCY2/GLP1R/PRKAR1B/GNAI1/GNGT1/PRKAG2/PPP2CB/GNA14/GNAQ/ACSL4/GNG5/PPP2CA	38
R-HSA-112040	R-HSA-112040	G-protein mediated events	23/2024	55/10619	8.18285788282423e-05	0.01403678553276	0.0129519625459786	PRKACA/GNAZ/ADCY1/GNAI3/PLA2G4A/CAMK2G/ITPR2/ADCY9/PRKCA/KPNA2/PRKAR1A/GNAL/PLCB1/PLCB4/MAPK1/ITPR1/PRKCD/ADCY5/CAMK2D/ADCY2/CAMK4/PRKAR1B/GNAI1	23
R-HSA-111885	R-HSA-111885	Opioid Signalling	33/2024	91/10619	8.34901741725505e-05	0.01403678553276	0.0129519625459786	PDE4A/PRKACA/GNAZ/ADCY1/PDE4B/GNAI3/PLA2G4A/CAMK2G/PPP2R1B/ITPR2/ADCY9/PRKCA/KPNA2/PRKAR1A/GNAL/GNG7/PLCB1/PLCB4/MAPK1/ITPR1/PRKCD/ADCY5/CAMK2D/ADCY2/PDE4D/CAMK4/OPRM1/PRKAR1B/GNAI1/GNGT1/PPP2CB/GNG5/PPP2CA	33
R-HSA-112315	R-HSA-112315	Transmission across Chemical Synapses	77/2024	272/10619	0.000115199808158227	0.0172159713303129	0.0158854472302398	SLC1A2/SLC6A12/SLC6A13/GLS2/MDM2/ARHGEF7/GABRG3/KCNJ2/PRKACA/SLC17A7/SNAP25/EPB41L1/PPM1F/ADCY1/KIF17/GRIK3/GNAI3/ACTN2/CACNB2/GAD2/CAMK2G/AP2A2/PPFIA1/GRIK4/KRAS/GRIP1/LIN7A/ALDH2/CHRFAM7A/CHRNA7/RASGRF1/ADCY9/GRIN2A/PRKCB/CACNG3/NSF/PPM1E/PRKCA/KPNA2/PRKAR1A/GNAL/GNG7/CACNA1A/CACNB4/ERBB4/PLCB1/SRC/GRIK1/MAPK1/SYN3/PICK1/SYN2/CACNA2D2/CACNA2D3/ADCY5/HTR3E/CHRNA9/CAMK2D/GLRB/ADCY2/RASGRF2/CAMK4/GABRB2/RIMS1/GABRR2/SLC22A1/PRKAR1B/GNAI1/CACNA2D1/GNGT1/PRKAG2/NRG1/UNC13B/APBA1/GABBR2/GNG5/TUBB2A	77
R-HSA-4090294	R-HSA-4090294	SUMOylation of intracellular receptors	15/2024	30/10619	0.000128457953999748	0.0172775948129661	0.0159423081858635	NR4A2/PPARA/RXRA/NR2C1/RORA/PIAS1/SUMO2/PIAS2/PIAS4/SUMO1/HDAC4/THRB/NR1I2/NR3C2/ESR1	15
R-HSA-112043	R-HSA-112043	PLC beta mediated events	22/2024	54/10619	0.000183900848478575	0.0207118228232686	0.0191111243268508	PRKACA/GNAZ/ADCY1/GNAI3/PLA2G4A/CAMK2G/ITPR2/ADCY9/PRKCA/KPNA2/PRKAR1A/PLCB1/PLCB4/MAPK1/ITPR1/PRKCD/ADCY5/CAMK2D/ADCY2/CAMK4/PRKAR1B/GNAI1	22
R-HSA-6802957	R-HSA-6802957	Oncogenic MAPK signaling	30/2024	83/10619	0.000184789497307972	0.0207118228232686	0.0191111243268508	CSK/MPRIP/RASAL2/CAMK2G/VCL/VWF/KRAS/RAP1B/KSR2/MARK3/MAP2K1/IQGAP1/KSR1/NF1/ITGA2B/ITGB3/SRC/MAPK1/ATG7/TRAK1/CAMK2D/AP3B1/QKI/SND1/TRIM24/BRAF/AGK/JAK2/DAB2IP/FXR1	30
