ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-1483257	R-HSA-1483257	Phospholipid metabolism	184/7281	212/10619	4.35827459535569e-10	6.11030098268868e-07	5.38132221089708e-07	PLA2G2D/PIK3R3/SLC44A5/MIGA1/ACP6/PLEKHA6/PIK3C2B/LPGAT1/PIP4K2A/CHAT/INPP5F/OSBPL5/PIK3C2A/PITPNM1/INPPL1/MTMR2/GPD1/PITPNM2/CPNE6/JMJD7-PLA2G4B/PLA2G4D/CDIPT/GDPD3/VAC14/PLD6/PCTP/LPIN2/PIP5K1C/TNFAIP8L1/PNPLA6/SLC44A2/PIK3R2/LCLAT1/GPAT2/INPP4A/INPP5D/CSNK2A1/CDS2/LPIN3/TPTE/PI4KA/INPP5J/OSBPL10/PCYT1A/CDS1/ENPP6/PIK3R1/SYNJ2/AGPAT4/SLC44A4/PNPLA8/AGK/MTMR9/PLEKHA2/MIGA2/AGPAT2/MTMR1/PIK3CD/PLA2G2A/PLA2G5/SLC44A3/CEPT1/PIP5K1A/PI4KB/PLA2G4A/ETNK2/RAB4A/GNPAT/PTEN/PI4K2A/GPAM/PTDSS2/SBF2/CHKA/GDPD5/DGAT2/PIK3C2G/PLEKHA5/ETNK1/ARF3/OSBPL8/CHPT1/TPTE2/MTMR6/ABHD4/DDHD1/MTMR10/PLA2G4E/PLA2G4F/TNFAIP8L3/PLA2G10/GDE1/LPCAT2/CSNK2A2/PLA2G15/CPNE7/INPP5K/PITPNM3/PIK3R6/PIK3R5/PEMT/PIP4K2B/PHOSPHO1/MTMR4/GDPD1/PGS1/ABHD3/PIK3C3/PLD3/PLA2G4C/PLEKHA4/MBOAT7/MBOAT2/LPIN1/HADHA/HADHB/SELENOI/PLB1/GPD2/PLA2R1/PIKFYVE/GPCPD1/CRLS1/CPNE1/SYNJ1/AGPAT3/PITPNB/MTMR3/PISD/PLA2G6/PNPLA3/SBF1/MTMR14/GPD1L/SACM1L/PLA1A/MGLL/PIK3R4/PIK3CB/BCHE/PLD1/PIK3CA/LIPH/PI4K2B/PTPN13/PLA2G12A/INPP4B/LPCAT1/MTMR12/TNFAIP8/RUFY1/MBOAT1/FIG4/PLEKHA8/PIK3CG/AGPAT5/MTMR7/DDHD2/PTDSS1/PIP5K1B/SLC44A1/RAB14/INPP5E/PNPLA7/BMX/PCYT1B/MTMR8/AWAT2/DGAT2L6/OCRL/MTM1/TAZ/PLAAT2/DGAT1/PNPLA2/PLAAT4/PLAAT3/STARD10/LPCAT3/PIP4K2C/PLD4/PLA2G4B/CHKB/GPAT4	184
R-HSA-194840	R-HSA-194840	Rho GTPase cycle	124/7281	138/10619	2.50137328662746e-09	1.75346267392585e-06	1.54426887642843e-06	PLEKHG5/INPP5B/ARHGAP29/ARHGEF11/ARHGAP30/OBSCN/NET1/ARHGAP1/ARHGEF12/ARHGDIB/STARD13/ARHGEF7/ARHGEF40/AKAP13/RHOT2/ARHGEF15/ARHGAP27/PIK3R2/GMIP/ARHGAP35/SOS1/TIAM1/ITSN1/SRGAP3/KALRN/ARHGAP24/ARHGAP10/TRIO/RASGRF2/ARAP3/FGD2/TAGAP/CHN2/ARHGEF10/ARHGAP39/VAV2/ARHGAP6/ARHGEF9/STARD8/ARHGEF16/ARHGEF19/ARHGEF10L/CDC42/SYDE2/VAV3/ARHGEF2/SRGAP2/RHOU/GDI2/ARHGAP21/ARHGAP12/ARHGAP22/RHOBTB1/DEPDC7/RHOD/ARAP1/ARHGEF17/ARHGAP42/ARHGAP20/ARHGAP32/A2M/FGD4/RACGAP1/ARHGAP9/SRGAP1/MCF2L/ARHGAP5/SOS2/RHOJ/ARHGAP11B/ARHGAP11A/MYO9A/ARHGAP17/ABR/ARHGAP44/RHOT1/ARHGAP23/GNA13/RALBP1/VAV1/ARHGEF18/MYO9B/PLEKHG2/ARHGEF1/ARHGEF33/RHOQ/ARHGAP25/ARHGEF4/ARHGAP15/CHN1/NGEF/PREX1/BCR/RAC2/RHOA/ARHGEF3/ARHGAP31/ARHGEF26/ARAP2/RHOH/FAM13A/ARHGEF38/DEPDC1B/FAM13B/ARHGAP26/ARHGEF37/ARHGAP18/TIAM2/RAC1/ARHGEF35/ARHGEF5/DLC1/RHOBTB2/FGD3/FGD1/OPHN1/OCRL/ARHGAP36/ARHGEF6/MCF2/ARHGAP4/RAC3/ARHGAP45/ECT2	124
R-HSA-193648	R-HSA-193648	NRAGE signals death through JNK	58/7281	59/10619	5.61531914986843e-09	2.62422581603851e-06	2.31114714484058e-06	PLEKHG5/ARHGEF11/OBSCN/NET1/ARHGEF12/ARHGEF7/ARHGEF40/AKAP13/ARHGEF15/AATF/NGFR/SOS1/TIAM1/ITSN1/KALRN/TRIO/RASGRF2/FGD2/ARHGEF10/VAV2/ARHGEF9/ARHGEF16/ARHGEF19/ARHGEF10L/VAV3/NGF/ARHGEF2/MAPK8/ARHGEF17/FGD4/MCF2L/SOS2/ABR/GNA13/VAV1/ARHGEF18/PLEKHG2/ARHGEF1/ARHGEF33/BCL2L11/ARHGEF4/NGEF/PREX1/ARHGEF3/ARHGEF26/ARHGEF38/ARHGEF37/TIAM2/RAC1/ARHGEF35/ARHGEF5/FGD3/MAGED1/FGD1/ARHGEF6/MCF2/BAD/ECT2	58
R-HSA-9006934	R-HSA-9006934	Signaling by Receptor Tyrosine Kinases	365/7281	458/10619	3.59296455919449e-08	1.25933407799767e-05	1.10909142840398e-05	MTOR/LCK/COL9A2/PIK3R3/THEM4/LAMC2/LAMB3/PSEN2/NRP1/NRG3/FGFR2/AP2A2/PTPRJ/PDGFD/GRIN2B/ERBB3/STAT6/RAP1B/IGF1/FGF9/WASF3/FLT3/FLT1/KL/COL4A1/COL4A2/ARHGEF7/FLRT2/CILP/MAP2K5/CSK/PCSK6/STUB1/PDPK1/CDH5/ESRP2/BCAR1/POLR2A/NCOR1/AP2B1/STAT5B/ATP6V0A1/GFAP/COL1A1/PRKCA/BAIAP2/YES1/LAMA1/ROCK1/MATK/PTPRS/GTF2F1/INSR/CDC37/PRKACA/EPS15L1/PIK3R2/AKT2/CALM3/FLT3LG/AP2A1/PPP2R1A/ROCK2/SOS1/PRKCE/SPRED2/NCK2/PTPN18/NRP2/FN1/IRS1/COL4A4/COL4A3/COL6A3/YWHAB/MMP9/PTPN1/LAMA5/TIAM1/COL6A2/S100B/RBFOX2/POLR2F/PRR5/DOCK3/TLR9/PRKCD/LRIG1/ATP6V1A/COL6A5/COL6A6/FGFR3/KIT/KDR/FGF2/SPRY1/PIK3R1/THBS4/RASA1/MEF2C/DIAPH1/PDGFRB/CYFIP2/FGF18/HNRNPH1/RANBP9/VEGFA/COL9A1/FYN/RPS6KA2/PDGFA/ELMO1/RALA/EGFR/COL1A2/LAMB1/NOS3/CDK5/FGF20/FGFR1/ATP6V1C1/PTK2/SHB/PCSK5/PTPN3/MAPKAP1/DNM1/LAMC3/RAPGEF1/RALGDS/VAV2/COL5A1/SH3KBP1/PAK3/PRKCZ/CDC42/RPS6KA1/WASF2/PTPRU/MKNK1/EPS15/DOCK7/PRKACB/COL24A1/COL11A1/VAV3/AHCYL1/RAP1A/NRAS/NGF/SH2D2A/NTRK1/DNM3/LAMC1/NCF2/ATP6V1G3/MAPKAPK2/RAB4A/AKT3/STAM/ABI1/ITGB1/HNRNPF/CXCL12/FGF8/TIAL1/ADAM12/DOCK1/PDE3B/FLRT1/FGF3/PAK1/GAB2/PGR/YAP1/CUL5/PPP2R1B/CBL/CHEK1/FGF23/NTF3/PTPN6/PTPRO/KRAS/ITPR2/ATF1/NCKAP1L/RNF41/FRS2/KITLG/SH2B3/PTPN11/ATP6V0A2/GTF2F2/IRS2/ATP6V1D/PSEN1/PGF/RPS6KA5/HSP90AA1/AKT1/CYFIP1/SPRED1/SPINT1/FGF7/USP8/NEDD4/ADAM10/NRG4/SH3GL3/NTRK3/IGF1R/MEF2A/PRKCB/ATP6V0D1/RANBP10/WWOX/CYBA/CRK/GRAP/ERBB2/TNS4/JUP/STAT3/DUSP3/ITGB3/ITGA3/CLTC/GRB2/HGS/PTPN2/LAMA3/PIK3C3/RIT2/SOCS6/SHC2/FGF22/SH3GL1/VAV1/HNRNPM/COL5A3/DNM2/HPN/PSENEN/SPINT2/AXL/BAX/VRK3/KIDINS220/ADAM17/ATP6V1C2/MEMO1/TIA1/TGFA/STAM2/NCKAP1/ITGAV/COL5A2/STAT1/ABI2/CREB1/ERBB4/TRIB3/ITCH/SRC/PLCG1/ELMO2/COL6A1/MAPK1/NCF4/GRAP2/MAPK12/ITPR1/LAMB2/RHOA/MST1R/PIK3R4/NCK1/PIK3CB/PIK3CA/PAK2/HGFAC/KLB/TEC/PDGFRA/POLR2B/AREG/BTC/EGF/GAB1/PDGFC/VEGFC/RICTOR/FGF10/ITGA2/ERBIN/FER/CTNNA1/NRG2/HBEGF/FGF1/ATP6V0E1/FGFR4/ITPR3/MAPK14/MAPK13/PPP2R5D/LAMA4/PTPRK/LAMA2/TAB2/ESR1/PLG/THBS2/RAC1/ADCYAP1R1/TNS3/GRB10/PTPN12/HGF/SH2B2/CAV1/MET/ATP6V0A4/BRAF/PTK2B/PPP2CB/NRG1/PLAT/ATP6V1H/LYN/PAG1/ATP6V0D2/WWP1/POLR2K/JAK2/SH3GL2/CLTA/NTRK2/SHC3/NCBP1/COL27A1/ATP6V1G1/ANOS1/VEGFD/RPS6KA3/COL4A5/CTNND1/POLR2G/POLR2D/ATP6V0E2/NELFB/ELK1/IGF2/ATP6V0C/UBB/CDK5R1/GRB7/PTBP1/POLR2E/RAB4B/FGFBP1/FGF5/POLR2J/ATP6AP1	365
R-HSA-1483255	R-HSA-1483255	PI Metabolism	78/7281	84/10619	7.01771273081645e-08	1.96776664972093e-05	1.73300569121004e-05	PIK3R3/PLEKHA6/PIK3C2B/PIP4K2A/INPP5F/PIK3C2A/INPPL1/MTMR2/GDPD3/VAC14/PIP5K1C/TNFAIP8L1/PNPLA6/PIK3R2/INPP4A/INPP5D/TPTE/PI4KA/INPP5J/ENPP6/PIK3R1/SYNJ2/MTMR9/PLEKHA2/MTMR1/PIK3CD/PIP5K1A/PI4KB/RAB4A/PTEN/PI4K2A/SBF2/GDPD5/PIK3C2G/PLEKHA5/ARF3/TPTE2/MTMR6/MTMR10/TNFAIP8L3/GDE1/INPP5K/PIK3R6/PIK3R5/PIP4K2B/MTMR4/GDPD1/PIK3C3/PLEKHA4/PIKFYVE/SYNJ1/PITPNB/MTMR3/SBF1/MTMR14/SACM1L/PIK3R4/PIK3CB/PIK3CA/PI4K2B/PTPN13/INPP4B/MTMR12/TNFAIP8/RUFY1/FIG4/PLEKHA8/PIK3CG/MTMR7/PIP5K1B/RAB14/INPP5E/PNPLA7/BMX/MTMR8/OCRL/MTM1/PIP4K2C	78
R-HSA-112316	R-HSA-112316	Neuronal System	328/7281	413/10619	3.44486610742907e-07	8.04950380435926e-05	7.08917183160403e-05	KCNAB2/EPB41/GRIK3/KCNQ4/KCND3/KCNN3/HCN3/KCNJ10/KCNJ9/GLUL/PPFIA4/KCNK2/KCNK1/ACTN2/TUBB8/TUBAL3/CACNB2/CHAT/CAMK2G/KCNMA1/KCNK18/SLC18A2/AP2A2/KCNJ11/ABCC8/SYT7/NRXN2/SHANK2/LRTOMT/DLG2/GRM5/PANX1/GRIA4/HTR3A/SLC6A12/GRIN2B/ABCC9/SYT10/SLC38A1/SLC38A2/TUBA1C/TUBA3C/ARHGEF7/KCNH5/AKAP5/SIPA1L1/BEGAIN/GABRB3/GABRA5/GABRG3/CHRFAM7A/HCN4/CHRNB4/RASGRF1/PDPK1/ADCY9/ABAT/GRIN2A/KCNG4/DLG4/KCNJ12/FLOT2/AP2B1/CACNB1/KCNH4/MAPT/PRKCA/PRKAR1A/KCNJ2/DLGAP1/TUBB6/PTPRS/TUBB4A/CACNA1A/PRKACA/SLC1A6/RAB3A/LRFN1/CALM3/KCNA7/LIN7B/SLC17A7/AP2A1/KCNC3/SHANK1/ADCY3/KCNK3/LRRTM4/LRRTM1/SLC5A7/CACNB4/CHRNG/DNAJC5/CACNG2/GRIP2/KCNH8/GNAI2/ARL6IP5/ADCY5/DLG1/NAAA/PDLIM5/GRIA2/ADCY2/RASGRF2/CAMK4/GRIA1/KCNK17/LRFN2/KCNQ5/GABRR1/GJA10/GRM1/RPS6KA2/CAMK2B/STX1A/KCND2/KCNH2/PRKAG2/KCNB2/NCALD/KCNK9/KCNV2/TUBB4B/CACNA1B/GLRA2/KCND1/ARHGEF9/DLG3/NLGN3/GRIA3/SLITRK4/SLITRK2/GNB1/KIF17/RPS6KA1/DLGAP3/PTPRF/SLC1A7/PRKAA2/GNG12/LRRC7/PRKACB/GNAI3/KCNC4/NRAS/PRKAB2/CACNA1E/SYT2/KCNH1/GNG4/GAD2/LRRTM3/KCNQ1/SYT9/PPFIBP2/KCNC1/LIN7C/SLC1A2/RTN3/KCNK4/SYT12/PPFIA1/HTR3B/GRIK4/KCNJ1/KCNJ5/SLC6A13/KRAS/PPFIBP1/ADCY6/CACNB3/PRKAG1/KCNH3/GRIP1/MDM2/KCNMB4/KCNC2/SYT1/LIN7A/PPFIA2/ALDH2/CAMKK2/GNG2/NRXN3/KCNK10/KCNK13/APBA2/CHRNA7/GNB5/NPTN/CHRNA5/HOMER2/NTRK3/PRKCB/CACNG3/ADCY7/GIT1/NSF/PPM1E/CACNG4/KCNJ16/GRIN2C/EPB41L3/GNAL/KCNG2/HCN2/GNG7/GRIK5/GRIN2D/PPFIA3/LRRC4B/PRKCG/CACNG8/KCNS3/KCNG3/NRXN1/EPB41L5/KCNJ3/KCNH7/GAD1/GLS/CREB1/ERBB4/PLCB1/SNAP25/EPB41L1/DLGAP4/SRC/KCNB1/KCNG1/KCNQ2/GRIK1/KCNJ6/KCNJ15/COMT/MAPK1/PPM1F/SYN3/KCNJ4/SHANK3/SLC6A11/SLC6A1/SYN2/PRKAR2A/CACNA2D2/CACNA2D3/GABRR3/KCNAB1/BCHE/NLGN1/KCNMB2/KCNMB3/GNB4/HTR3D/IL1RAP/CPLX1/CHRNA9/GABRA2/GABRA4/GABRB1/CAMK2D/GLRB/GLRA3/SLC6A3/SLC1A3/PRKAA1/HCN1/HOMER1/KCNN2/CAMK2A/GLRA1/GABRB2/GABRA1/ALDH5A1/RIMS1/MYO6/GABRR2/GRIK2/EPB41L2/SLC22A1/SLC22A2/GABBR1/PRKAR1B/RAC1/DBNL/ADCY1/GNAI1/CACNA2D1/GNGT1/PRKAR2B/NRG1/CHRNB3/CHRNA6/ADCY8/KCNQ3/SLC1A1/PTPRD/UNC13B/APBA1/GABBR2/GRIN3A/STXBP1/GRIN1/PRKX/NLGN4X/RPS6KA3/IL1RAPL1/TSPAN7/CASK/MAOA/SYN1/RPS6KA6/IL1RAPL2/GABRA3/KCNA2/GNG3/KCNAB3/GNG5/KCNA4/HSPA8/GNG13/SLC6A4/GNG8/PANX2/TUBB2A/KCNK16/GNAT3	328
R-HSA-112315	R-HSA-112315	Transmission across Chemical Synapses	219/7281	272/10619	5.26922230914797e-06	0.00105534995391792	0.000929443273478282	GRIK3/KCNJ10/KCNJ9/GLUL/PPFIA4/ACTN2/TUBB8/TUBAL3/CACNB2/CHAT/CAMK2G/SLC18A2/AP2A2/LRTOMT/DLG2/GRIA4/HTR3A/SLC6A12/GRIN2B/SLC38A1/SLC38A2/TUBA1C/TUBA3C/ARHGEF7/AKAP5/GABRB3/GABRA5/GABRG3/CHRFAM7A/CHRNB4/RASGRF1/PDPK1/ADCY9/ABAT/GRIN2A/DLG4/KCNJ12/AP2B1/CACNB1/MAPT/PRKCA/PRKAR1A/KCNJ2/TUBB6/TUBB4A/CACNA1A/PRKACA/SLC1A6/RAB3A/CALM3/LIN7B/SLC17A7/AP2A1/ADCY3/SLC5A7/CACNB4/CHRNG/DNAJC5/CACNG2/GRIP2/GNAI2/ARL6IP5/ADCY5/DLG1/NAAA/GRIA2/ADCY2/RASGRF2/CAMK4/GRIA1/GABRR1/RPS6KA2/CAMK2B/STX1A/PRKAG2/NCALD/TUBB4B/CACNA1B/GLRA2/ARHGEF9/DLG3/GRIA3/GNB1/KIF17/RPS6KA1/SLC1A7/PRKAA2/GNG12/LRRC7/PRKACB/GNAI3/NRAS/PRKAB2/CACNA1E/GNG4/GAD2/LIN7C/SLC1A2/PPFIA1/HTR3B/GRIK4/KCNJ5/SLC6A13/KRAS/ADCY6/CACNB3/PRKAG1/GRIP1/MDM2/SYT1/LIN7A/PPFIA2/ALDH2/CAMKK2/GNG2/CHRNA7/GNB5/NPTN/CHRNA5/PRKCB/CACNG3/ADCY7/GIT1/NSF/PPM1E/CACNG4/KCNJ16/GRIN2C/GNAL/GNG7/GRIK5/GRIN2D/PPFIA3/PRKCG/CACNG8/KCNJ3/GAD1/GLS/CREB1/ERBB4/PLCB1/SNAP25/EPB41L1/SRC/GRIK1/KCNJ6/KCNJ15/COMT/MAPK1/PPM1F/SYN3/KCNJ4/SLC6A11/SLC6A1/SYN2/PRKAR2A/CACNA2D2/CACNA2D3/GABRR3/BCHE/GNB4/HTR3D/CPLX1/CHRNA9/GABRA2/GABRA4/GABRB1/CAMK2D/GLRB/GLRA3/SLC6A3/SLC1A3/PRKAA1/CAMK2A/GLRA1/GABRB2/GABRA1/ALDH5A1/RIMS1/MYO6/GABRR2/GRIK2/SLC22A1/SLC22A2/GABBR1/PRKAR1B/RAC1/ADCY1/GNAI1/CACNA2D1/GNGT1/PRKAR2B/NRG1/CHRNB3/CHRNA6/ADCY8/SLC1A1/UNC13B/APBA1/GABBR2/GRIN3A/STXBP1/GRIN1/PRKX/RPS6KA3/TSPAN7/CASK/MAOA/SYN1/RPS6KA6/GABRA3/GNG3/GNG5/HSPA8/GNG13/SLC6A4/GNG8/TUBB2A/GNAT3	219
R-HSA-204998	R-HSA-204998	Cell death signalling via NRAGE, NRIF and NADE	68/7281	76/10619	1.60863593241616e-05	0.00281913447155932	0.00248280256411073	PLEKHG5/ITGB3BP/ARHGEF11/PSEN2/OBSCN/NET1/TRAF6/ARHGEF12/ARHGEF7/ARHGEF40/AKAP13/ARHGEF15/AATF/NGFR/SOS1/TIAM1/ITSN1/KALRN/TRIO/RASGRF2/SQSTM1/FGD2/CASP2/ARHGEF10/VAV2/ARHGEF9/ARHGEF16/ARHGEF19/ARHGEF10L/VAV3/NGF/ARHGEF2/MAPK8/ARHGEF17/FGD4/MCF2L/SOS2/PSEN1/ABR/YWHAE/GNA13/VAV1/ARHGEF18/PSENEN/PLEKHG2/ARHGEF1/ARHGEF33/BCL2L11/ARHGEF4/NGEF/PREX1/ARHGEF3/ARHGEF26/ARHGEF38/CASP3/ARHGEF37/TIAM2/RAC1/ARHGEF35/ARHGEF5/FGD3/MAGED1/FGD1/ARHGEF6/MCF2/BAD/UBB/ECT2	68
R-HSA-1660499	R-HSA-1660499	Synthesis of PIPs at the plasma membrane	49/7281	53/10619	3.08412667399568e-05	0.00480438399660217	0.00423120536678004	PIK3R3/PLEKHA6/PIK3C2B/PIP4K2A/PIK3C2A/INPPL1/MTMR2/PIP5K1C/PIK3R2/INPP4A/INPP5D/INPP5J/PIK3R1/SYNJ2/MTMR9/PLEKHA2/MTMR1/PIK3CD/PIP5K1A/RAB4A/PTEN/PI4K2A/SBF2/PIK3C2G/PLEKHA5/MTMR6/INPP5K/PIK3R6/PIK3R5/PIP4K2B/PLEKHA4/SYNJ1/MTMR3/MTMR14/PIK3CB/PIK3CA/PI4K2B/PTPN13/INPP4B/RUFY1/PLEKHA8/PIK3CG/PIP5K1B/RAB14/BMX/MTMR8/OCRL/MTM1/PIP4K2C	49
R-HSA-114508	R-HSA-114508	Effects of PIP2 hydrolysis	27/7281	27/10619	3.700883520721e-05	0.00518863869605084	0.00456961723137445	DGKZ/DAGLA/RASGRP2/DGKA/RASGRP1/PRKCE/DGKD/PRKCD/DGKG/TRPC7/DGKI/DGKK/PRKCQ/TRPC6/ITPR2/DGKH/PRKCH/DGKE/ABHD12/ITPR1/ABHD6/MGLL/TRPC3/ITPR3/DAGLB/DGKB/DGKQ	27
