ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-9006934	R-HSA-9006934	Signaling by Receptor Tyrosine Kinases	234/4139	458/10619	5.17511271615672e-08	7.23998268990325e-05	6.27550510422373e-05	NCSTN/DNM3/LAMC1/LAMC2/NCF2/FGFR2/DOCK1/PTPRJ/COL2A1/ARHGEF7/CSK/STUB1/POLR2C/CDH5/POLR2A/NCOR1/AP2B1/STAT5B/ATP6V0A1/DUSP3/ITGB3/LAMA1/PTPRS/HNRNPM/COL5A3/NTF4/PPP2R1A/ROCK2/MEMO1/PRKCE/NRP2/COL4A4/COL6A3/TIAM1/RBFOX2/POLR2F/PRR5/ITPR1/KLB/FYN/LAMA2/THBS2/ADCYAP1R1/ELMO1/TNS3/GRB10/HGF/NRG1/ATP6V1H/PCSK5/LAMC3/PRKCZ/MTOR/PTPRU/LCK/COL9A2/PIK3R3/MKNK1/EPS15/DOCK7/PRKACB/COL24A1/COL11A1/VAV3/AHCYL1/RAP1A/NGF/AKT3/STAM/ABI1/NRP1/NRG3/ADAM12/PDE3B/PAK1/GAB2/PDGFD/CUL5/CBL/NTF3/GRIN2B/ITPR2/STAT6/RAP1B/FRS2/KITLG/IGF1/ATP6V0A2/FGF9/WASF3/FLT1/KL/GTF2F2/COL4A1/COL4A2/ATP6V1D/PSEN1/FLRT2/RPS6KA5/HSP90AA1/SPRED1/USP8/NEDD4/ADAM10/MAP2K5/SH3GL3/NTRK3/IGF1R/MEF2A/PDPK1/PRKCB/RANBP10/BCAR1/WWOX/GRAP/JUP/STAT3/PRKCA/GRB2/BAIAP2/PTPN2/ROCK1/LAMA3/PIK3C3/RIT2/MATK/SH3GL1/INSR/DNM2/PRKACA/EPS15L1/AKT2/AXL/VRK3/KIDINS220/ADAM17/ATP6V1C2/SOS1/SPRED2/NCK2/RALB/STAM2/GALNT3/NCKAP1/ITGAV/ABI2/CREB1/ERBB4/IRS1/COL4A3/SRC/ELMO2/PTPN1/MAPK1/GRAP2/MST1R/DOCK3/LRIG1/ATP6V1A/COL6A5/COL6A6/PIK3R4/NCK1/PIK3CB/PIK3CA/PAK2/PDGFRA/KIT/AREG/BTC/EGF/GAB1/PDGFC/VEGFC/RICTOR/FGF10/ITGA2/ERBIN/RASA1/MEF2C/FER/CTNNA1/NRG2/DIAPH1/FGF1/CYFIP2/ATP6V0E1/RANBP9/MAPK14/MAPK13/PPP2R5D/COL9A1/LAMA4/PTPRK/TAB2/ESR1/RPS6KA2/PDGFA/EGFR/PTPN12/CAV1/MET/ATP6V0A4/BRAF/PTK2B/FGFR1/LYN/PAG1/WWP1/ESRP1/PTK2/JAK2/SH3GL2/CLTA/NTRK2/NCBP1/PTPN3/COL27A1/MAPKAP1/RAPGEF1/VAV2/COL5A1/ANOS1/VEGFD/SH3KBP1/ELK1/PAK3/VAV1/FGF4/ATF1/CALM1/BAX/TLR9/ATP6V1G1	234
R-HSA-112316	R-HSA-112316	Neuronal System	207/4139	413/10619	1.81132658162476e-06	0.000741879087541941	0.000643049327601156	KCNC4/CHRNB2/KCNJ10/CACNA1E/CACNB2/CAMK2G/KCNMA1/GRIK4/MDM2/KCNMB4/PRKAB1/ARHGEF7/KCNH5/SIPA1L1/ADCY9/ABAT/AP2B1/KCNJ2/DLGAP1/EPB41L3/PTPRS/CACNA1A/SLC1A6/GRIK5/LRRTM4/PLCB1/SNAP25/KCNJ15/COMT/CACNA2D3/IL1RAP/CAMK4/GLRA1/PRKAG2/NRG1/KCNK9/KCNV2/UNC13B/APBA1/TUBB4B/PRKX/GNB1/KCNAB2/KIF17/EPB41/DLGAP3/GRIK3/SLC1A7/PRKAA2/LRRC7/PRKACB/KCND3/KCNN3/SYT2/KCNH1/KCNK2/KCNK1/ACTN2/LRRTM3/KCNQ1/SYT9/PPFIBP2/ABCC8/LIN7C/SLC1A2/RTN3/NRXN2/SHANK2/DLG2/GRM5/GRIA4/HTR3B/KCNJ1/KCNJ5/SLC6A12/SLC6A13/GRIN2B/PPFIBP1/SYT10/SLC38A1/GRIP1/SYT1/ALDH2/CAMKK2/GNG2/NRXN3/KCNK13/GABRB3/GABRG3/APBA2/CHRFAM7A/CHRNA7/GNB5/NPTN/RASGRF1/HOMER2/NTRK3/PDPK1/GRIN2A/PRKCB/MAPT/NSF/PPM1E/PRKCA/CACNG4/KCNJ16/GNAL/TUBB6/HCN2/GNG7/PRKACA/LRFN1/GRIN2D/KCNC3/LRRC4B/CACNG8/KCNK3/KCNG3/NRXN1/EPB41L5/CACNB4/KCNJ3/KCNH7/CREB1/ERBB4/EPB41L1/DLGAP4/SRC/KCNB1/KCNQ2/DNAJC5/GRIK1/KCNJ6/MAPK1/SYN3/CACNG2/SHANK3/SLC6A11/SYN2/GRIP2/KCNH8/PRKAR2A/GABRR3/ADCY5/KCNAB1/BCHE/NLGN1/KCNMB2/KCNMB3/GNB4/DLG1/GABRA2/GABRB1/PDLIM5/CAMK2D/GLRB/GRIA2/GLRA3/ADCY2/SLC1A3/PRKAA1/HCN1/HOMER1/RASGRF2/KCNN2/GRIA1/GABRB2/GABRA1/ALDH5A1/LRFN2/RIMS1/KCNQ5/MYO6/GABRR1/GABRR2/GRIK2/EPB41L2/GRM1/RPS6KA2/ADCY1/GNAI1/CACNA2D1/GNGT1/GNG11/KCND2/KCNB2/NCALD/ADCY8/KCNQ3/PTPRD/GABBR2/STXBP1/CACNA1B/NLGN4X/IL1RAPL1/CASK/IL1RAPL2/GRIA3/NLGN4Y/MAOA/GNB3/TUBA1A/CALM1/BEGAIN/SLC6A4/GNG8/GNG10	207
R-HSA-416482	R-HSA-416482	G alpha (12/13) signalling events	52/4139	80/10619	2.06972517054573e-06	0.000741879087541941	0.000643049327601156	PLEKHG5/ARHGEF19/ARHGEF2/ARHGEF11/ARHGEF7/ARHGEF40/AKAP13/ABR/ROCK2/TIAM1/ITSN1/KALRN/ADRA1A/GNB1/ARHGEF16/ARHGEF10L/VAV3/NET1/ARHGEF12/FGD4/SOS2/GNG2/GNB5/GNA13/ROCK1/GNG7/ARHGEF1/ARHGEF33/SOS1/ARHGEF4/NGEF/PREX1/ARHGEF3/GNB4/TRIO/RASGRF2/ADRA1B/TIAM2/GNA12/GNGT1/GNG11/ARHGEF5/ARHGEF10/VAV2/FGD1/BTK/ARHGEF6/MCF2/VAV1/GNB3/GNG8/GNG10	52
R-HSA-373752	R-HSA-373752	Netrin-1 signaling	36/4139	50/10619	2.14498879784373e-06	0.000741879087541941	0.000643049327601156	DOCK1/RGMA/DCC/DSCAM/ROBO1/SIAH2/TRPC7/SLIT3/FYN/PRKCQ/MAPK8/SLIT1/ABLIM1/PAK1/DSCAML1/AGAP2/NTN4/TRPC4/NEO1/NTN1/SRC/NCK1/TRPC1/ABLIM2/SLIT2/UNC5C/TRIO/MYO10/UNC5A/MAPK14/MAPK13/UNC5D/PTK2/TRPC5/PITPNA/ABLIM3	36
R-HSA-1650814	R-HSA-1650814	Collagen biosynthesis and modifying enzymes	45/4139	67/10619	2.65146207127213e-06	0.000741879087541941	0.000643049327601156	COL16A1/COLGALT2/ADAMTS14/P4HA3/COL2A1/COL5A3/COL4A4/COL6A3/CRTAP/BMP1/COL15A1/COL9A2/COL24A1/COL11A1/COL13A1/P4HA1/TLL2/COL17A1/P3H3/COL4A1/COL4A2/COLGALT1/COL4A3/COL18A1/COL8A1/COL6A5/COL6A6/PCOLCE2/PLOD2/P3H2/COL25A1/TLL1/COL23A1/ADAMTS2/COL21A1/COL19A1/COL9A1/COL12A1/COL28A1/COL26A1/COL14A1/COL22A1/COL27A1/COL5A1/PLOD1	45
R-HSA-194840	R-HSA-194840	Rho GTPase cycle	79/4139	138/10619	9.46845837865592e-06	0.0019205665429012	0.00166471739770677	PLEKHG5/ARHGEF19/ARHGEF2/ARHGEF11/ARHGEF7/ARHGEF40/AKAP13/ABR/MYO9B/TIAM1/ITSN1/SRGAP3/ARHGAP31/KALRN/ARHGAP26/ARHGEF16/ARHGEF10L/INPP5B/ARHGAP29/VAV3/RHOU/NET1/ARHGAP12/ARHGAP22/RHOBTB1/ARHGAP42/ARHGAP20/ARHGEF12/ARHGAP32/A2M/FGD4/SRGAP1/STARD13/ARHGAP5/SOS2/ARHGAP11B/MYO9A/ARHGAP17/ARHGAP44/RHOT1/ARHGAP23/ARHGAP27/GNA13/RALBP1/ARHGEF1/ARHGAP35/ARHGEF33/SOS1/RHOQ/ARHGAP25/ARHGEF4/ARHGAP15/CHN1/NGEF/PREX1/ARHGEF3/ARAP2/ARHGAP24/FAM13A/ARHGAP10/TRIO/DEPDC1B/RASGRF2/FAM13B/ARHGAP18/TIAM2/CHN2/ARHGEF5/ARHGEF10/DLC1/ARHGAP39/VAV2/ARHGAP6/FGD1/OPHN1/STARD8/ARHGEF6/MCF2/VAV1	79
R-HSA-6794362	R-HSA-6794362	Protein-protein interactions at synapses	54/4139	87/10619	1.03442346523889e-05	0.0019205665429012	0.00166471739770677	SIPA1L1/DLGAP1/EPB41L3/PTPRS/LRRTM4/IL1RAP/APBA1/EPB41/DLGAP3/SYT2/LRRTM3/SYT9/PPFIBP2/LIN7C/RTN3/NRXN2/SHANK2/DLG2/GRM5/GRIA4/GRIN2B/PPFIBP1/SYT10/SYT1/NRXN3/APBA2/HOMER2/NTRK3/GRIN2A/LRFN1/GRIN2D/LRRC4B/NRXN1/EPB41L5/EPB41L1/DLGAP4/SHANK3/NLGN1/DLG1/PDLIM5/HOMER1/GRIA1/LRFN2/EPB41L2/GRM1/PTPRD/STXBP1/NLGN4X/IL1RAPL1/CASK/IL1RAPL2/GRIA3/NLGN4Y/BEGAIN	54
R-HSA-6794361	R-HSA-6794361	Neurexins and neuroligins	38/4139	56/10619	1.0982510609871e-05	0.0019205665429012	0.00166471739770677	SIPA1L1/DLGAP1/EPB41L3/LRRTM4/APBA1/EPB41/DLGAP3/SYT2/LRRTM3/SYT9/LIN7C/NRXN2/SHANK2/DLG2/GRM5/GRIN2B/SYT10/SYT1/NRXN3/APBA2/HOMER2/GRIN2A/GRIN2D/NRXN1/EPB41L5/EPB41L1/DLGAP4/SHANK3/NLGN1/PDLIM5/HOMER1/EPB41L2/GRM1/STXBP1/NLGN4X/CASK/NLGN4Y/BEGAIN	38
R-HSA-5173105	R-HSA-5173105	O-linked glycosylation	66/4139	112/10619	1.39243617547304e-05	0.00211052130844298	0.00182936725279434	ADAMTS14/GALNT14/ADAMTS5/SEMA5A/THBS2/GALNT17/MUC17/SSPO/SBSPON/ST3GAL1/ST6GALNAC4/ADAMTSL2/ST3GAL3/POMGNT1/ST6GALNAC3/GALNT2/GALNT18/SPON1/B3GNT6/ST3GAL4/ADAMTS20/GALNT6/B3GLCT/GALNT16/POMT2/THSD4/ADAMTSL3/ADAMTS17/B3GNTL1/B4GALT6/GALNT1/ADAMTS10/MUC16/GALNT13/GALNT5/GALNT3/B4GALT5/LARGE1/GALNT15/DAG1/SEMA5B/B3GNT5/ST6GAL1/MUC4/MUC7/GALNTL6/GALNT7/ADAMTS16/ADAMTS12/ADAMTS6/ADAMTS19/GALNT10/ADAMTS2/C1GALT1/THSD7A/GALNTL5/GALNT11/POMK/ADAMTSL1/GCNT1/GALNT12/POMT1/ADAMTS13/B3GNT9/ST3GAL2/GCNT4	66
R-HSA-1474244	R-HSA-1474244	Extracellular matrix organization	153/4139	301/10619	1.53641069676901e-05	0.00211052130844298	0.00182936725279434	MFAP2/HSPG2/COL16A1/NCSTN/DDR2/TNN/TNR/LAMC1/LAMC2/COLGALT2/CAPN2/ADAMTS14/SH3PXD2A/EFEMP2/P4HA3/NCAM1/COL2A1/MMP17/BMP4/ACTN1/FBN1/ITGAX/ITGB3/LAMA1/PTPRS/COL5A3/CEACAM8/EMILIN1/ITGB6/COL4A4/COL6A3/BMP7/APP/ADAMTS5/SCUBE1/CRTAP/HAPLN1/FBN2/DST/LAMA2/DDR1/BMP1/PLEC/COL15A1/LAMC3/COL9A2/COL24A1/COL11A1/F11R/CAPN8/ITGA8/COL13A1/P4HA1/TLL2/COL17A1/ADAM12/CD44/LRP4/VWF/P3H3/A2M/NTN4/COL4A1/COL4A2/PSEN1/LTBP2/TGFB3/FBLN5/CAPN3/ADAM10/ITGA11/LOXL1/ACAN/ITGAL/CDH1/ITGAE/ITGA2B/ICAM2/PRKCA/ITGB4/TIMP2/EMILIN2/LAMA3/COLGALT1/CAPNS1/CAPN12/CEACAM6/KLK2/PXDN/ADAM17/MATN3/CAPN13/CAPN14/LTBP1/NRXN1/ITGA6/ITGA4/ITGAV/COL4A3/CAPN10/MMP24/JAM2/ITGB2/COL18A1/MMP11/FBLN1/FBLN2/CAPN7/ITGA9/DAG1/COL8A1/ITGB5/COL6A5/COL6A6/PCOLCE2/PLOD2/P3H2/COL25A1/TLL1/CASP3/KLKB1/ADAMTS16/ITGA1/ITGA2/VCAN/CAST/ADAM19/COL23A1/ADAMTS2/COL21A1/COL19A1/COL9A1/COL12A1/LAMA4/PDGFA/COL28A1/ITGB8/COL26A1/LOXL2/MMP16/COL14A1/COL22A1/CTSL/MUSK/COL27A1/COL5A1/DMD/CASK/PLOD1/BGN/ITGB7/BMP2/SDC4	153
