	2019032901_N	2019032901_T1	2019032901_T2	2019032901_T3	2019032903_N	2019032903_T1	2019032903_T2	2019032903_T3	2019032903_T4	2019040901_N	2019040901_T1	2019040901_T2	2019040901_T3	2019051703_N	2019051703_T1	2019051703_T2	2019051703_T3	2019051703_T4	2019052301_N	2019052301_T1	2019052301_T2	2019052301_T3	2019052301_T4	2019053101_N	2019053101_T1	2019053101_T2	2019053101_T3	2019053101_T4	2019053102_N	2019053102_T1	2019053102_T2	2019053102_T3	2019053102_T4
2019032901_N	1	0.877554	0.890151	0.881784	0.791816	0.810097	0.793183	0.816936	0.817023	0.799279	0.794326	0.800247	0.793941	0.813312	0.798691	0.801693	0.80883	0.806382	0.874241	0.870816	0.880912	0.856716	0.887074	0.801482	0.80706	0.785349	0.813077	0.808275	0.881467	0.882981	0.884969	0.862773	0.885276
2019032901_T1	0.877554	1	0.869526	0.902894	0.770257	0.850058	0.773306	0.814696	0.841415	0.788731	0.798024	0.81401	0.811377	0.810843	0.81622	0.841933	0.829491	0.826914	0.891336	0.855939	0.880123	0.813668	0.869601	0.771749	0.811352	0.7632	0.818663	0.81486	0.874066	0.881068	0.876628	0.812923	0.877294
2019032901_T2	0.890151	0.869526	1	0.876453	0.782644	0.791003	0.795674	0.822264	0.8054	0.79579	0.801327	0.804122	0.798918	0.808108	0.796675	0.78503	0.803618	0.803596	0.866461	0.880536	0.885021	0.858974	0.884553	0.800788	0.80713	0.802966	0.817212	0.812099	0.890464	0.886851	0.888356	0.883139	0.885537
2019032901_T3	0.881784	0.902894	0.876453	1	0.77497	0.841587	0.776815	0.814671	0.835151	0.791348	0.799513	0.813312	0.809703	0.811196	0.812231	0.831473	0.824364	0.824442	0.885336	0.862357	0.881054	0.823437	0.87451	0.779668	0.809973	0.771569	0.819041	0.816373	0.879721	0.883143	0.876186	0.826052	0.878713
2019032903_N	0.791816	0.770257	0.782644	0.77497	1	0.827131	0.863084	0.862579	0.843283	0.862346	0.853051	0.849138	0.841817	0.860967	0.843109	0.819241	0.84299	0.839547	0.789997	0.804728	0.807232	0.828702	0.820451	0.854505	0.849348	0.850409	0.84703	0.847077	0.772558	0.768138	0.772141	0.754009	0.766901
2019032903_T1	0.810097	0.850058	0.791003	0.841587	0.827131	1	0.826586	0.862253	0.893008	0.836198	0.843432	0.858629	0.855979	0.854074	0.868475	0.888182	0.876502	0.870993	0.857342	0.815686	0.841524	0.791178	0.831675	0.805848	0.857625	0.802012	0.854714	0.851629	0.803864	0.816199	0.815998	0.729243	0.812681
2019032903_T2	0.793183	0.773306	0.795674	0.776815	0.863084	0.826586	1	0.87371	0.845899	0.859872	0.856591	0.850734	0.842731	0.860905	0.848926	0.816178	0.847851	0.845347	0.79712	0.821574	0.814149	0.835868	0.824919	0.849395	0.857918	0.860176	0.85082	0.845759	0.778572	0.781152	0.789899	0.774443	0.783708
2019032903_T3	0.816936	0.814696	0.822264	0.814671	0.862579	0.862253	0.87371	1	0.881487	0.871122	0.874992	0.877316	0.869772	0.878207	0.876609	0.856411	0.879352	0.87247	0.840422	0.843256	0.85179	0.842645	0.851047	0.854357	0.88183	0.869287	0.879788	0.873908	0.815575	0.816882	0.824825	0.789236	0.815784
2019032903_T4	0.817023	0.841415	0.8054	0.835151	0.843283	0.893008	0.845899	0.881487	1	0.85328	0.858271	0.870144	0.864608	0.869504	0.878904	0.885923	0.886545	0.876797	0.858736	0.829546	0.851378	0.813942	0.843734	0.826206	0.873355	0.830477	0.872193	0.866213	0.81279	0.820685	0.82245	0.753383	0.816781
2019040901_N	0.799279	0.788731	0.79579	0.791348	0.862346	0.836198	0.859872	0.871122	0.85328	1	0.882105	0.880492	0.87398	0.869964	0.861466	0.837448	0.86214	0.854746	0.807369	0.817017	0.824484	0.826847	0.833088	0.853651	0.864894	0.861087	0.863793	0.861228	0.785801	0.787904	0.788083	0.756104	0.779789
