	2019032901_N	2019032901_T1	2019032901_T2	2019032901_T3	2019032903_N	2019032903_T1	2019032903_T2	2019032903_T3	2019032903_T4	2019040901_N	2019040901_T1	2019040901_T2	2019040901_T3	2019051703_N	2019051703_T1	2019051703_T2	2019051703_T3	2019051703_T4	2019052301_N	2019052301_T1	2019052301_T2	2019052301_T3	2019052301_T4	2019053101_N	2019053101_T1	2019053101_T2	2019053101_T3	2019053101_T4	2019053102_N	2019053102_T1	2019053102_T2	2019053102_T3	2019053102_T4
Promoter (<=1kb)	3.20946765241853	3.15115321441553	3.47873799725652	2.92214607079953	2.93203120615143	3.15052458536669	3.27484058844203	3.68898690053963	3.33476864653424	3.05015534842432	3.15143426444603	3.24086640247544	2.95041616737377	3.42903866854351	3.18247041779022	3.34981175592714	3.31673665266947	2.95301481133884	3.3785603125271	2.90688413876589	3.23318201493945	3.10753479343113	3.19267304999432	2.90273317313091	3.47747403724027	2.98789773182656	3.1436270106965	2.93243253018149	3.08301164563532	2.77496833684134	3.61602390292964	3.28745970254382	3.25342369370536
Promoter (1-2kb)	3.18521649355959	3.06419629259854	3.2318244170096	2.91119486753607	2.93988887018017	2.99474123611075	3.15559572224733	3.14935823822929	2.97888014443055	2.95872170439414	3.13733599007481	3.03186580533087	2.87268840884801	3.22824376914797	3.00085263311128	3.09415595427874	3.06358728254349	2.95962406561668	3.05088149253595	2.92042305119302	3.08944803933538	3.17172065062542	3.02917912424781	2.84097289285153	3.25499539269971	3.05041275947744	3.15179227565935	3.01923369042366	3.14140201771175	2.73168776025294	3.19842842942931	3.08021564218568	3.10707591509577
Promoter (2-3kb)	2.63021140081622	2.65839732411927	2.56973022405121	2.51330114896374	2.35056406802492	2.61001661115271	2.36857960536225	2.54875458582738	2.55451163900663	2.32223701731025	2.48881536899883	2.49918571195918	2.36367954572443	2.65276972758135	2.58216125163768	2.64262456330767	2.58548290341932	2.51548217814584	2.65839711204516	2.38603421362811	2.59942062443811	2.50794495671368	2.54550959391439	2.3367844229344	2.65646142734993	2.38037989901419	2.55572793337144	2.54472068109977	2.61329354137607	2.38270963744544	2.5843866345922	2.34741148105004	2.60161320282113
Promoter (3-4kb)	2.39393582450476	2.44859649687829	2.29721079103795	2.33443149566059	2.27086490430488	2.35310318710355	2.20038158357182	2.32924462149775	2.35944738712472	2.21482467820684	2.28674010301139	2.22164920471201	2.11484276322182	2.26256520659104	2.377667944461	2.48193874436116	2.42231553689262	2.35487729919433	2.4735643514652	2.21162116530216	2.30751301375185	2.32164941997902	2.36006509480377	1.99991016686505	2.40160715916355	2.120702091849	2.40467053155875	2.31252757745195	2.38362474454212	2.22689956172721	2.35088606701525	2.08463143066128	2.37927715454888
Promoter (4-5kb)	2.22556349299834	2.33495438212276	2.10242341106539	2.16149374412514	2.06993320985576	2.24594834189711	2.10122006326254	2.1453034013882	2.20017950061476	2.06391478029294	2.11004173089214	2.09950599858857	2.05006963111701	2.16941293367558	2.22100527523413	2.32591662992233	2.25494901019796	2.19361149481504	2.28644970495215	2.11286674524545	2.23148384518907	2.11500226998763	2.21549407712977	1.94937902845465	2.20818356148463	1.95720125030055	2.2462643912795	2.14181862897567	2.22078048464009	2.09067964172794	2.18090706442145	1.95865955083575	2.25938455130334
5' UTR	0.207867075933843	0.233265393445564	0.19387288523091	0.223130766492968	0.157153280574732	0.221195142313684	0.197067831500728	0.200201217467302	0.222041222886847	0.182867288060364	0.167299522538441	0.215107757450736	0.161932830262007	0.207005050923243	0.184390575284731	0.221737950683445	0.22255548890222	0.179110790929459	0.253745715759161	0.185562740913001	0.198119804211017	0.161247397341766	0.224047231578549	0.163945471287084	0.231610230697072	0.179530335817905	0.226177839470891	0.206876098577184	0.187497972556525	0.198179482273187	0.233500567576946	0.177444260829518	0.211641402912321
3' UTR	1.01785578182272	1.04808395713806	0.962048468221308	0.988346094527136	0.78913397317169	1.0057063182628	0.888688055430035	1.02336358370342	0.979471562641046	0.873501997336884	0.927666453626076	0.954752727864937	0.888471462037547	0.946013082719218	0.975329095585024	1.03067869619781	1.00299940011998	0.883657296947185	1.06244609044483	0.880029307763372	0.953416872925847	0.829719617389671	0.996101880937062	0.890470950209985	1.09828077136999	0.889636931954797	0.973299583571487	0.917922269561003	0.918675187335777	0.91162561845666	1.11221554984384	0.89128491317422	1.00191940740407
1st Exon	0.170451002265751	0.170693216900009	0.169181527206219	0.170656250855563	0.145928046247965	0.162668801156756	0.166942812672591	0.199184967632443	0.174831523628195	0.160674656014203	0.169179292454604	0.173036208674882	0.151677084345414	0.188374596340151	0.178151796421714	0.175524878743683	0.187162567486503	0.150690997534748	0.179356234340558	0.163263355738906	0.163157485820838	0.164378414765878	0.184687582787723	0.147101758483617	0.189272876698683	0.195559830087361	0.182085408671511	0.15841211744197	0.164141823725955	0.15626566073495	0.181154092729722	0.188280551567199	0.188563483977733
Other Exon	2.36067709235534	2.51438930015781	2.24874256973022	2.4453124287031	1.73766627378347	2.3320164906573	2.12004820003013	2.47355209804778	2.32987647660007	2.12161562361296	1.98785668634159	2.22097063134466	1.96478500717902	2.27602053490105	2.17109504432999	2.41028728419767	2.44151169766047	2.04556419899143	2.60271909527787	2.10569908572521	2.23037393031954	1.92714122454091	2.51447602467547	1.9213061737822	2.63238724566457	2.13352568726457	2.26831060667919	2.11288490889495	1.9787848314789	2.12439293296522	2.63967392263309	1.99658656841763	2.43162462920539
1st Intron	9.96445473001531	10.0235105751579	9.88751714677641	9.99160407749801	10.0286243475333	10.065669997504	9.83456343826882	9.77937216085202	9.94360775484159	9.89968930315136	9.8227376969059	9.73345638130395	9.81636817048288	10.0573403991057	10.1525728030833	9.9883831360445	9.95440911817636	10.2053495304125	9.78837789856561	10.0084419101016	9.93762278433244	9.95976642610016	10.0806115883889	9.98607586408247	10.0547065025195	9.84852127915364	9.95917367518576	9.98285677085217	10.0600123268563	10.0647841893776	9.86113480099517	10.0032508872213	10.0861763265582
