Var1	Freq
1	来氟米特;甲氨蝶呤;	71
2	甲氨蝶呤;	63
3	尼美舒利;来氟米特;甲氨蝶呤;	59
4	来氟米特;甲氨蝶呤;美洛昔康;	50
5	来氟米特;	31
6	甲氨蝶呤;美洛昔康;	31
7	尼美舒利;甲氨蝶呤;	27
8	尼美舒利;甲氨蝶呤;青霉胺;	27
9	甲氨蝶呤;青霉胺;	26
10	甲氨蝶呤;羟基氯喹;	21
11	美洛昔康;	18
12	甲氨蝶呤;美洛昔康;青霉胺;	17
13	尼美舒利;正清风痛宁;甲氨蝶呤;	16
14	双氯芬酸钠;来氟米特;甲氨蝶呤;	15
15	塞来昔布;甲氨蝶呤;	15
16	来氟米特;洛索洛芬钠片;甲氨蝶呤;	14
17	甲氨蝶呤;美洛昔康;羟基氯喹;	14
18	尼美舒利;来氟米特;甲氨蝶呤;青霉胺;	13
19	强的松;来氟米特;甲氨蝶呤;美洛昔康;	13
20	正清风痛宁;甲氨蝶呤;	13
21	尼美舒利;	12
22	强的松;来氟米特;甲氨蝶呤;	12
23	白芍总甙;	12
24	强的松;	11
25	来氟米特;甲基泼尼松龙;甲氨蝶呤;美洛昔康;	11
26	来氟米特;甲氨喋呤;	11
27	正清风痛宁;甲氨蝶呤;美洛昔康;	11
28	强的松;甲氨蝶呤;	10
29	来氟米特;美洛昔康;	10
30	来氟米特片;正清风痛宁缓释片;洛索洛芬钠片;甲氨蝶呤片;	10
31	LEF;甲氨蝶呤;	9
32	塞来昔布;来氟米特;甲氨蝶呤;	9
33	强的松;甲氨蝶呤;美洛昔康;	9
34	来氟米特;洛索洛芬钠;甲氨蝶呤;	9
35	来氟米特;甲氨蝶呤;青霉胺;	9
36	来氟米特片;正清风痛宁缓释片;甲氨蝶呤片;益肾蠲痹丸;硫酸羟氯喹片;醋酸泼尼松片;	9
37	来氟米特片;正清风痛宁缓释片;甲氨蝶呤片;醋酸泼尼松片;	9
38	LEF;尼美舒利;甲氨蝶呤;	8
39	尼美舒利;来氟米特;甲基泼尼松龙;甲氨蝶呤;	8
40	来氟米特;羟基氯喹;	8
41	来氟米特片;正清风痛宁缓释片;甲氨蝶呤片;	8
42	来氟米特片;正清风痛宁缓释片;甲氨蝶呤片;硫酸羟氯喹片;醋酸泼尼松片;	8
