chr13	114523883	114523904	chr13	114518582	114545814	GAS6-AS1	NR_044995	21
chr13	114523883	114523904	chr13	114523521	114567076	GAS6	NM_000820	21
chr15	43425671	43426044	chr15	43425721	43477341	TMEM62	NM_024956	323
chr17	31204029	31204173	chr17	30819539	31204191	MYO1D	NM_015194	144
chr17	31204029	31204173	chr17	31086829	31204191	MYO1D	NM_001303280	144
chr17	31204029	31204173	chr17	30921212	31204191	MYO1D	NM_001303279	144
chr16	584193	584214	chr16	577855	604636	CAPN15	NM_005632	21
chr2	233251540	233251550	chr2	233250459	233251754	ECEL1P2	NR_028501	10
chr6	2765986	2766155	chr6	2765665	2785979	WRNIP1	NM_130395	169
chr6	2765986	2766155	chr6	2765665	2785979	WRNIP1	NM_020135	169
chr2	234160457	234160593	chr2	234160216	234204320	ATG16L1	NM_001190266	136
chr2	234160457	234160593	chr2	234160216	234204320	ATG16L1	NM_017974	136
chr2	234160457	234160593	chr2	234160216	234204320	ATG16L1	NM_001190267	136
chr2	234160457	234160593	chr2	234160216	234204320	ATG16L1	NM_198890	136
chr2	234160457	234160593	chr2	234160216	234204320	ATG16L1	NM_030803	136
chr16	83841518	83841607	chr16	83841507	83846607	HSBP1	NM_001537	89
chr11	67374301	67374679	chr11	67374322	67380012	NDUFV1	NM_007103	357
chr11	67374301	67374679	chr11	67374322	67380012	NDUFV1	NM_001166102	357
chr22	41809664	41809910	.	-1	-1	.	-1	0
chr11	94277861	94277918	chr11	94277016	94283064	FUT4	NM_002033	57
chr8	57358266	57358300	chr8	57353512	57359282	PENK	NM_001135690	34
chr8	57358266	57358300	chr8	57353512	57358593	PENK	NM_006211	34
chr7	98030578	98030702	.	-1	-1	.	-1	0
chr1	226070469	226070929	.	-1	-1	.	-1	0
chr10	101281243	101281291	.	-1	-1	.	-1	0
chr22	48886333	48886427	chr22	48885271	49147747	FAM19A5	NM_001082967	94
chr4	13629342	13629653	chr4	13629488	13629581	MIR5091	NR_049814	93
chr10	92923075	92923407	chr10	92922768	92987717	PCGF5	NR_046435	332
chr10	92923075	92923407	chr10	92922768	93044088	PCGF5	NM_001257101	332
chr20	49639252	49639288	chr20	49620192	49639675	KCNG1	NM_002237	36
chr8	142276345	142276401	.	-1	-1	.	-1	0
chr4	2470814	2471539	chr4	2471179	2517586	RNF4	NM_001185009	360
chr4	2470814	2471539	chr4	2470794	2517586	RNF4	NM_002938	725
chr4	2470814	2471539	chr4	2470794	2517586	RNF4	NM_001185010	725
chr22	29279894	29280010	chr22	29279754	29453476	ZNRF3	NM_001206998	116
chr20	3732699	3732737	chr20	3713316	3733758	HSPA12B	NM_052970	38
chr20	3732699	3732737	chr20	3713316	3733758	HSPA12B	NM_001197327	38
chr2	242088429	242088594	chr2	242053049	242088919	PASK	NM_001252124	165
chr2	242088429	242088594	chr2	242045513	242088919	PASK	NM_001252122	165
chr2	242088429	242088594	chr2	242045513	242089394	PASK	NM_001252120	165
chr2	242088429	242088594	chr2	242045513	242088919	PASK	NM_001252119	165
chr2	242088429	242088594	chr2	242045513	242088919	PASK	NM_015148	165
chr12	63328230	63328716	chr12	63037762	63328665	PPM1H	NM_020700	435
chr11	131781214	131781245	chr11	131780711	132206716	NTM	NM_001144058	31
chr11	131781214	131781245	chr11	131780711	132206716	NTM	NM_016522	31
chr11	131781214	131781245	chr11	131240370	132206716	NTM	NM_001048209	31
chr11	131781214	131781245	chr11	131780711	132184961	NTM	NM_001144059	31
chr5	59995971	59996171	chr5	59892738	59995993	DEPDC1B	NM_001145208	22
chr5	59995971	59996171	chr5	59892738	59995993	DEPDC1B	NM_018369	22
chr20	60639272	60639290	chr20	60549853	60640866	TAF4	NM_003185	18
chr4	2965119	2965531	chr4	2939663	2965233	NOP14	NM_003703	114
chr4	2965119	2965531	chr4	2939663	2965233	NOP14	NM_001291978	114
chr4	2965119	2965531	chr4	2939663	2965233	NOP14	NM_001291979	114
chr4	2965119	2965531	chr4	2965342	3042474	GRK4	NM_182982	189
chr4	2965119	2965531	chr4	2965342	3042474	GRK4	NM_001004057	189
chr4	2965119	2965531	chr4	2965342	3042474	GRK4	NM_001004056	189
chr4	2965119	2965531	chr4	2965342	3042474	GRK4	NM_005307	189
chr10	134062503	134062566	chr10	134020995	134121477	STK32C	NM_173575	63
chr6	167559834	167559869	.	-1	-1	.	-1	0
chr19	50393601	50393631	chr19	50392912	50432796	IL4I1	NM_172374	30
chr19	50393601	50393631	chr19	50392913	50400147	IL4I1	NM_152899	30
chr19	50393601	50393631	chr19	50392912	50432796	IL4I1	NM_001258018	30
chr19	50393601	50393631	chr19	50392912	50432796	IL4I1	NM_001258017	30
chr19	50393601	50393631	chr19	50392912	50432796	IL4I1	NR_047577	30
chr19	55598734	55598781	chr19	55591759	55599291	EPS8L1	NM_017729	47
chr19	55598734	55598781	chr19	55587220	55599291	EPS8L1	NM_133180	47
chr19	6752644	6752671	chr19	6752172	6767523	SH2D3A	NM_005490	27
chr16	88555787	88555903	chr16	88520013	88601574	ZFPM1	NM_153813	116
chr11	17741922	17741952	chr11	17741109	17743678	MYOD1	NM_002478	30
chr14	102430708	102430761	.	-1	-1	.	-1	0
chr7	101961970	101961980	chr7	101928352	101962178	SH2B2	NM_020979	10
chr2	37423502	37424274	chr2	37423634	37431886	CEBPZOS	NR_037879	640
chr2	37423502	37424274	chr2	37423634	37431886	CEBPZOS	NR_037880	640
chr10	11059707	11059859	chr10	11047258	11378672	CELF2	NM_001025077	152
chr5	178286983	178287216	chr5	178286953	178311424	ZNF354B	NM_058230	233
chr19	38674426	38674479	chr19	38397860	38699012	SIPA1L3	NM_015073	53
chr17	45786273	45786297	chr17	45772629	45789429	TBKBP1	NM_014726	24
chr17	74553323	74553339	.	-1	-1	.	-1	0
chr1	902046	902275	chr1	901876	910484	PLEKHN1	NM_001160184	229
chr1	902046	902275	chr1	901876	910484	PLEKHN1	NM_032129	229
chr2	30454015	30454138	.	-1	-1	.	-1	0
chr15	33603388	33603461	chr15	33603162	34158304	RYR3	NM_001243996	73
chr15	33603388	33603461	chr15	33603162	34158304	RYR3	NM_001036	73
chr2	29338052	29338115	chr2	29320541	29397581	CLIP4	NM_001287528	63
chr2	29338052	29338115	chr2	29337743	29397581	CLIP4	NR_109844	63
chr16	230316	230432	chr16	230332	231178	HBQ1	NM_005331	100
chr14	60794429	60794803	.	-1	-1	.	-1	0
chr7	157482093	157482118	chr7	157331745	158334468	PTPRN2	NM_001308268	25
chr7	157482093	157482118	chr7	157331745	158380494	PTPRN2	NM_001308267	25
chr7	157482093	157482118	chr7	157331745	158380494	PTPRN2	NM_002847	25
chr7	157482093	157482118	chr7	157331745	158380494	PTPRN2	NM_130842	25
chr7	157482093	157482118	chr7	157331745	158380494	PTPRN2	NM_130843	25
chr7	156433501	156433996	chr7	156433352	156469820	RNF32	NM_030936	495
chr7	156433501	156433996	chr7	156433440	156469820	RNF32	NM_001184996	495
chr7	156433501	156433996	chr7	156433440	156469820	RNF32	NM_001308273	495
chr3	159557816	159557891	chr3	159557649	159615155	SCHIP1	NM_001197109	75
chr3	159557816	159557891	chr3	158991035	159615155	SCHIP1	NM_001197108	75
chr3	159557816	159557891	chr3	158787040	159615155	IQCJ-SCHIP1	NM_001197113	75
chr3	159557816	159557891	chr3	158991035	159615155	SCHIP1	NM_014575	75
chr3	159557816	159557891	chr3	158787040	159615155	IQCJ-SCHIP1	NM_001197114	75
chr3	159557816	159557891	chr3	158991035	159615155	SCHIP1	NM_001197107	75
chr6	3259196	3259362	chr6	3259161	3264097	PSMG4	NM_001135750	166
chr6	3259196	3259362	chr6	3259161	3268300	PSMG4	NM_001128591	166
chr6	3259196	3259362	chr6	3259161	3268300	PSMG4	NM_001128592	166
chr18	13218569	13218753	chr18	13218728	13652753	LDLRAD4	NM_181482	25
chr7	5594693	5594766	.	-1	-1	.	-1	0
chr6	5085682	5086352	chr6	5085719	5087455	PPP1R3G	NM_001145115	633
chr6	5085682	5086352	chr6	5004049	5240729	LOC100129461	NR_126015	670
chr10	88296303	88296314	.	-1	-1	.	-1	0
chr13	48893171	48893227	chr13	48877882	49056026	RB1	NM_000321	56
chr1	119527091	119527110	chr1	119425665	119532179	TBX15	NM_152380	19
chr12	51785733	51785871	chr12	51785100	51868361	SLC4A8	NM_001267615	138
chr12	51785733	51785871	chr12	51785100	51909547	SLC4A8	NM_001258401	138
chr19	2244638	2244648	chr19	2236815	2248678	SF3A2	NM_007165	10
chr20	8000038	8000130	chr20	7957999	8000476	TMX4	NM_021156	92
chr3	37493300	37493559	.	-1	-1	.	-1	0
chr4	56262308	56262741	chr4	56262079	56292342	TMEM165	NM_018475	433
chr4	56262308	56262741	chr4	56262079	56292342	TMEM165	NR_073070	433
chr7	71801483	71801534	chr7	71244475	71802208	CALN1	NM_001017440	51
chr7	71801483	71801534	chr7	71244475	71877360	CALN1	NM_031468	51
chr16	54324380	54324398	.	-1	-1	.	-1	0
chr14	103745787	103745954	.	-1	-1	.	-1	0
chr19	58978225	58978300	.	-1	-1	.	-1	0
chr6	36646482	36647243	chr6	36646455	36655116	CDKN1A	NM_000389	761
chr6	36646482	36647243	chr6	36644313	36655116	CDKN1A	NM_001291549	761
chr6	36646482	36647243	chr6	36644266	36655116	CDKN1A	NM_078467	761
chr6	36646482	36647243	chr6	36646486	36655116	CDKN1A	NM_001220778	757
chr6	36646482	36647243	chr6	36644236	36655116	CDKN1A	NM_001220777	761
chr17	3571796	3571889	chr17	3566186	3571973	TAX1BP3	NM_001204698	93
chr17	3571796	3571889	chr17	3566186	3571973	TAX1BP3	NM_014604	93
chr17	3571796	3571889	chr17	3566186	3599698	P2RX5-TAX1BP3	NR_037928	93
chr11	64880114	64880157	chr11	64879325	64883707	TM7SF2	NM_001277233	43
chr11	64880114	64880157	chr11	64879325	64883707	TM7SF2	NM_003273	43
chr11	64880114	64880157	chr11	64879325	64883707	TM7SF2	NR_102367	43
chr7	127807517	127807552	.	-1	-1	.	-1	0
chr16	56659438	56659658	chr16	56659584	56661024	MT1E	NM_175617	74
chr9	110045368	110045381	.	-1	-1	.	-1	0
chr14	64010107	64010523	.	-1	-1	.	-1	0
chr2	120124938	120125095	chr2	120124499	120130127	DBI	NM_020548	157
chr2	120124938	120125095	chr2	120124828	120130122	DBI	NM_001178017	157
chr2	120124938	120125095	chr2	120124623	120130127	DBI	NM_001282635	157
