	Sample	groupname	tissuename
F1:N37_10_tissue_pool_all_chrs.mld_blocks_r2-0.5	N37_10_tissue_pool_all_chrs.mld_blocks_r2-0.5	Normal	T
F1:WB_centenarian.mld_blocks_r2-0.5	WB_centenarian.mld_blocks_r2-0.5	Normal	T
F1:WB_middle-age.mld_blocks_r2-0.5	WB_middle-age.mld_blocks_r2-0.5	Normal	T
F1:WB_new-born.mld_blocks_r2-0.5	WB_new-born.mld_blocks_r2-0.5	Normal	T
F2:6-P-10.mld_blocks_r2-0.5	6-P-10.mld_blocks_r2-0.5	Cancer	P
F2:6-P-1.mld_blocks_r2-0.5	6-P-1.mld_blocks_r2-0.5	Cancer	P
F2:6-P-2.mld_blocks_r2-0.5	6-P-2.mld_blocks_r2-0.5	Cancer	P
F2:6-P-3.mld_blocks_r2-0.5	6-P-3.mld_blocks_r2-0.5	Cancer	P
F2:6-P-4.mld_blocks_r2-0.5	6-P-4.mld_blocks_r2-0.5	Cancer	P
F2:6-P-5.mld_blocks_r2-0.5	6-P-5.mld_blocks_r2-0.5	Cancer	P
F2:6-P-6.mld_blocks_r2-0.5	6-P-6.mld_blocks_r2-0.5	Cancer	P
F2:6-P-7.mld_blocks_r2-0.5	6-P-7.mld_blocks_r2-0.5	Cancer	P
F2:6-P-8.mld_blocks_r2-0.5	6-P-8.mld_blocks_r2-0.5	Cancer	P
F2:6-P-9.mld_blocks_r2-0.5	6-P-9.mld_blocks_r2-0.5	Cancer	P
F2:6-T-1_1.mld_blocks_r2-0.5	6-T-1_1.mld_blocks_r2-0.5	Cancer	T
F2:6-T-1_2.mld_blocks_r2-0.5	6-T-1_2.mld_blocks_r2-0.5	Cancer	T
F2:6-T-2_1.mld_blocks_r2-0.5	6-T-2_1.mld_blocks_r2-0.5	Cancer	T
F2:6-T-2_2.mld_blocks_r2-0.5	6-T-2_2.mld_blocks_r2-0.5	Cancer	T
F2:6-T-3_1.mld_blocks_r2-0.5	6-T-3_1.mld_blocks_r2-0.5	Cancer	T
F2:6-T-3_2.mld_blocks_r2-0.5	6-T-3_2.mld_blocks_r2-0.5	Cancer	T
F2:6-T-4_1.mld_blocks_r2-0.5	6-T-4_1.mld_blocks_r2-0.5	Cancer	T
F2:6-T-4_2.mld_blocks_r2-0.5	6-T-4_2.mld_blocks_r2-0.5	Cancer	T
F2:6-T-5_1.mld_blocks_r2-0.5	6-T-5_1.mld_blocks_r2-0.5	Cancer	T
F2:6-T-5_2.mld_blocks_r2-0.5	6-T-5_2.mld_blocks_r2-0.5	Cancer	T
F2:6T-5.mld_blocks_r2-0.5	6T-5.mld_blocks_r2-0.5	Cancer	T
F2:7-P-10.mld_blocks_r2-0.5	7-P-10.mld_blocks_r2-0.5	Cancer	P
F2:7-P-1.mld_blocks_r2-0.5	7-P-1.mld_blocks_r2-0.5	Cancer	P
F2:7-P-2.mld_blocks_r2-0.5	7-P-2.mld_blocks_r2-0.5	Cancer	P
F2:7-P-3.mld_blocks_r2-0.5	7-P-3.mld_blocks_r2-0.5	Cancer	P
F2:7-P-4.mld_blocks_r2-0.5	7-P-4.mld_blocks_r2-0.5	Cancer	P
F2:7-P-5.mld_blocks_r2-0.5	7-P-5.mld_blocks_r2-0.5	Cancer	P
F2:7-P-6.mld_blocks_r2-0.5	7-P-6.mld_blocks_r2-0.5	Cancer	P
F2:7-P-7.mld_blocks_r2-0.5	7-P-7.mld_blocks_r2-0.5	Cancer	P
F2:7-P-8.mld_blocks_r2-0.5	7-P-8.mld_blocks_r2-0.5	Cancer	P
F2:7-P-9.mld_blocks_r2-0.5	7-P-9.mld_blocks_r2-0.5	Cancer	P
F2:7-T-1_1.mld_blocks_r2-0.5	7-T-1_1.mld_blocks_r2-0.5	Cancer	T
F2:7-T-1_2.mld_blocks_r2-0.5	7-T-1_2.mld_blocks_r2-0.5	Cancer	T
F2:7T-1.mld_blocks_r2-0.5	7T-1.mld_blocks_r2-0.5	Cancer	T
F2:7-T-2_1.mld_blocks_r2-0.5	7-T-2_1.mld_blocks_r2-0.5	Cancer	T
F2:7-T-2_2.mld_blocks_r2-0.5	7-T-2_2.mld_blocks_r2-0.5	Cancer	T
F2:7T-2.mld_blocks_r2-0.5	7T-2.mld_blocks_r2-0.5	Cancer	T
F2:7-T-3_1.mld_blocks_r2-0.5	7-T-3_1.mld_blocks_r2-0.5	Cancer	T
F2:7-T-3_2.mld_blocks_r2-0.5	7-T-3_2.mld_blocks_r2-0.5	Cancer	T
F2:7-T-4_1.mld_blocks_r2-0.5	7-T-4_1.mld_blocks_r2-0.5	Cancer	T
F2:7-T-4_2.mld_blocks_r2-0.5	7-T-4_2.mld_blocks_r2-0.5	Cancer	T
F2:7T-4.mld_blocks_r2-0.5	7T-4.mld_blocks_r2-0.5	Cancer	T
F2:7-T-5_1.mld_blocks_r2-0.5	7-T-5_1.mld_blocks_r2-0.5	Cancer	T
F2:7-T-5_2.mld_blocks_r2-0.5	7-T-5_2.mld_blocks_r2-0.5	Cancer	T
F2:7T-5.mld_blocks_r2-0.5	7T-5.mld_blocks_r2-0.5	Cancer	T
F2:CTT-FFPE-100ng_1.mld_blocks_r2-0.5	CTT-FFPE-100ng_1.mld_blocks_r2-0.5	Cancer	T
F2:CTT-FFPE-100ng_2.mld_blocks_r2-0.5	CTT-FFPE-100ng_2.mld_blocks_r2-0.5	Cancer	T
F2:CTT-FFPE-5ng_1.mld_blocks_r2-0.5	CTT-FFPE-5ng_1.mld_blocks_r2-0.5	Cancer	T
F2:CTT-FFPE-5ng_2.mld_blocks_r2-0.5	CTT-FFPE-5ng_2.mld_blocks_r2-0.5	Cancer	T
F2:CTT-frozen-100ng_1.mld_blocks_r2-0.5	CTT-frozen-100ng_1.mld_blocks_r2-0.5	Cancer	T
F2:CTT-frozen-100ng_2.mld_blocks_r2-0.5	CTT-frozen-100ng_2.mld_blocks_r2-0.5	Cancer	T
F2:CTT-frozen-5ng_1.mld_blocks_r2-0.5	CTT-frozen-5ng_1.mld_blocks_r2-0.5	Cancer	T
F2:CTT-frozen-5ng_2.mld_blocks_r2-0.5	CTT-frozen-5ng_2.mld_blocks_r2-0.5	Cancer	T
F2:NC-7.mld_blocks_r2-0.5	NC-7.mld_blocks_r2-0.5	Normal	P
F2:NC-P-1.mld_blocks_r2-0.5	NC-P-1.mld_blocks_r2-0.5	Normal	P
F2:NC-P-2.mld_blocks_r2-0.5	NC-P-2.mld_blocks_r2-0.5	Normal	P
F2:NC-P-3.mld_blocks_r2-0.5	NC-P-3.mld_blocks_r2-0.5	Normal	P
F2:NC-P-5.mld_blocks_r2-0.5	NC-P-5.mld_blocks_r2-0.5	Normal	P
F2:NC-P-6.mld_blocks_r2-0.5	NC-P-6.mld_blocks_r2-0.5	Normal	P
F2:NC-P-7.mld_blocks_r2-0.5	NC-P-7.mld_blocks_r2-0.5	Normal	P
F2:NC-P-8.mld_blocks_r2-0.5	NC-P-8.mld_blocks_r2-0.5	Normal	P
F2:NC-P-9.mld_blocks_r2-0.5	NC-P-9.mld_blocks_r2-0.5	Normal	P
F2:PC-P-10.mld_blocks_r2-0.5	PC-P-10.mld_blocks_r2-0.5	Cancer	P
F2:PC-P-1.mld_blocks_r2-0.5	PC-P-1.mld_blocks_r2-0.5	Cancer	P
F2:PC-P_2.mld_blocks_r2-0.5	PC-P_2.mld_blocks_r2-0.5	Cancer	P
F2:PC-P-2.mld_blocks_r2-0.5	PC-P-2.mld_blocks_r2-0.5	Cancer	P
F2:PC-P-3.mld_blocks_r2-0.5	PC-P-3.mld_blocks_r2-0.5	Cancer	P
