Lab ID	Yield	MHL
UCSD.CR	13.95	0.0076300
UCSD.CR	8.42	0.0078125
UCSD.CR	31.7	0.0153000
UCSD.CR	48.49	0.0976563
UCSD.CR	21.97	0.0012207
UCSD.CR	11.49	0.0954000
UCSD.CR	10.59	0.0156250
UCSD.CR	9.83	0.0048828
UCSD.CR	23.54	0.0122070
UCSD.CR	14.27	0.0019531
UCSD.CR	31.95	0.0897656
UCSD.CR	13.97	0.1250000
UCSD.CR	45.3	0.0312500
UCSD.CR	24.41	0.0156250
UCSD.CR	9.54	0.0625000
UCSD.CR	18.09	0.0156250
UCSD.CR	16.63	0.1250000
UCSD.CR	22.31	0.0039063
UCSD.CR	18.18	0.0078125
UCSD.CR	61.11	0.0725650
UCSD.CR	17.01	0.0125000
UCSD.CR	84	0.1250000
UCSD.CR	29.27	0.0156250
UCSD.CR	15.14	0.0156250
UCSD.CR	46.4	0.0610000
UCSD.CR	17.89	0.0156250
UCSD.CR	92.73	0.0625000
UCSD.CR	130.21	0.0976563
UCSD.CR	10.02	0.0078125
UCSD.CR	214.09	0.0156250
UCSD.LC	43.71	0.0039063
UCSD.LC	174.87	0.0156250
UCSD.LC	18.65	0.0625000
UCSD.LC	75.68	0.0153000
UCSD.LC	20.26	0.0030500
UCSD.LC	21.47	0.0076300
UCSD.LC	16.53	0.0039063
UCSD.LC	21	0.0312500
UCSD.LC	12.18	0.0039063
UCSD.LC	21.28	0.0625000
UCSD.LC	8.75	0.0156250
UCSD.LC	15.33	0.0015300
UCSD.LC	18.5	0.0009540
UCSD.LC	21.23	0.0312500
UCSD.LC	14	0.0003810
UCSD.LC	91.77	0.0061000
UCSD.LC	65.67	NA
UCSD.LC	17.37	0.0312500
UCSD.LC	40.69	0.0078125
UCSD.LC	17.81	0.0156250
UCSD.LC	59.84	0.0625000
UCSD.LC	88.89	0.0030500
UCSD.LC	NA	NA
UCSD.LC	12.51	0.0312500
UCSD.LC	11.48	0.0015300
UCSD.LC	23.57	0.1250000
UCSD.LC	40.77	0.0061000
UCSD.LC	12	0.0078125
UCSD.LC	15.6	0.0003810
UCSD.NC	12.31	0.0001221
UCSD.NC	13.65	0.0009766
UCSD.NC	22.6	0.0000610
UCSD.NC	6.55	0.0312500
UCSD.NC	6.22	0.0007630
UCSD.NC	10.29	0.0002441
UCSD.NC	5.92	0.0003050
UCSD.NC	8.55	0.0078125
UCSD.NC	8.15	0.0009766
UCSD.NC	8.4	0.0031250
UCSD.NC	7.85	0.0000153
UCSD.NC	5.9	0.0002441
UCSD.NC	7	0.0002441
UCSD.NC	6.3	0.0000610
UCSD.NC	9.45	0.0000038
UCSD.NC	5.25	0.0039063
UCSD.NC	6.4	0.0078125
UCSD.NC	10.25	0.0009766
UCSD.NC	9	0.0009766
UCSD.NC	7.65	0.0078125
UCSD.NC	7	0.0078125
UCSD.NC	4.15	0.0000610
UCSD.NC	3.6	0.0002441
UCSD.NC	6.2	0.0000305
UCSD.NC	5.45	0.0000153
UCSD.NC	4.95	0.0004883
UCSD.NC	14.66	0.0002363
UCSD.NC	11.55	0.0099793
UCSD.NC	13.8	0.0002619
UCSD.NC	NA	0.0093264
UCSD.NC	12.744	0.0012726
UCSD.NC	15.54	0.0001242
UCSD.NC	13.75714286	0.0012194
UCSD.NC	35.72727273	0.0018541
UCSD.NC	20.6	0.0024170
UCSD.NC	15.6	0.0069358
UCSD.NC	33.25	0.0089389
UCSD.NC	31.97647059	0.0045596
UCSD.NC	9.6	0.0010184
UCSD.NC	20.95555556	0.0056530
UCSD.NC	NA	0.0078006
UCSD.NC	12.33333333	0.0000788
UCSD.NC	27.7125	0.0002332
UCSD.NC	24.84	0.0002147
UCSD.NC	15.38181818	0.0001177
UCSD.NC	18.98823529	0.0001071
UCSD.NC	15.11111111	0.0000373
UCSD.NC	16.63636364	0.0000932
UCSD.NC	23.37931034	0.0001477
UCSD.NC	28.22857143	0.0001789
UCSD.NC	19.73793103	0.0001214
UCSD.NC	47.30769231	0.0003449
UCSD.NC	74.53846154	0.0334931
UCSD.NC	NA	#VALUE!
UCSD.NC	12.28888889	0.0000663
UCSD.NC	24.31304348	0.0001609
UCSD.NC	31.5	0.0002709
UCSD.NC	48.46153846	0.0003394
UCSD.NC	50	0.0004470
UCSD.NC	41.11111111	0.0003193
UCSD.NC	8.2	0.0000644
UCSD.NC	70.84615385	0.0031575
UCSD.NC	25.77777778	0.0001443
UCSD.NC	9.466666667	0.0007548
UCSD.NC	8.111111111	0.0007208
UCSD.NC	13.26666667	0.0011313
UCSD.NC	16	0.0001334
UCSD.NC	17.825	0.0000707
UCSD.NC	24.4137931	0.0001218
UCSD.NC	24.72	0.0001639
UCSD.NC	70.38461538	0.0058320
UCSD.NC	17.44137931	0.0001343
UCSD.NC	10.65	0.0000088
UCSD.NC	10.73076923	0.0009524
UCSD.NC	11.28	0.0000028
UCSD.NC	14.03571429	0.0000986
