Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0051252~regulation of RNA metabolic process	35	22.727272727272727	5.327202014303304E-6	IRX4, PPARD, INS-IGF2, ONECUT3, PRRX1, CBX3, PAX2, TNFRSF4, GATA2, HIC2, ZFP36L2, DBX2, OVOL2, NKX6-2, TEAD4, GATA4, LHX6, ZNF71, ALX4, ZNF267, NFATC1, DNMT3A, LMX1B, NR4A1, IGF2, VAX2, ARID1B, AFF1, PURB, ZFP82, BRWD1, TRPS1, IRF4, APBB1, RASD1, UNCX	117	1813	13528	2.232122232122232	0.006488714978918786	0.006488714978918786	0.008631437708728207
GOTERM_BP_FAT	GO:0006355~regulation of transcription, DNA-dependent	34	22.07792207792208	9.085764417777709E-6	IRX4, PPARD, INS-IGF2, ONECUT3, PRRX1, CBX3, PAX2, TNFRSF4, GATA2, HIC2, DBX2, OVOL2, NKX6-2, TEAD4, GATA4, LHX6, ZNF71, ALX4, ZNF267, NFATC1, DNMT3A, LMX1B, NR4A1, IGF2, VAX2, ARID1B, AFF1, PURB, ZFP82, BRWD1, TRPS1, IRF4, APBB1, RASD1, UNCX	117	1773	13528	2.2172665962852087	0.011041445350580492	0.005536046581164689	0.014720855116756582
GOTERM_BP_FAT	GO:0045449~regulation of transcription	43	27.92207792207792	1.2801059309477172E-5	IRX4, PPARD, INS-IGF2, GDF6, ONECUT3, PRRX1, CBX3, PAX2, TNFRSF4, FUBP1, HIC2, GATA2, DBX2, MCM7, ZNF512B, OVOL2, LYL1, ACTR5, NKX6-2, GATA4, TEAD4, LHX6, ZNF71, ALX4, ING1, ZNF267, NFATC1, DNMT3A, LMX1B, NR4A1, IGF2, ZNF503, VAX2, ARID1B, AFF1, PURB, ZFP82, BRWD1, TRPS1, IRF4, APBB1, RASD1, UBA52, UNCX	117	2601	13528	1.9115067511837986	0.015521278454603937	0.005200760504795787	0.020739830895288858
GOTERM_MF_FAT	GO:0043565~sequence-specific DNA binding	18	11.688311688311687	2.6460644536786397E-5	IRX4, PPARD, LMX1B, ONECUT3, PRRX1, NR4A1, VAX2, PURB, GATA2, DBX2, OVOL2, NKX6-2, TRPS1, GATA4, LHX6, ALX4, UNCX, NFATC1	117	607	12983	3.290584209859334	0.0075655415798756565	0.0075655415798756565	0.035114765361543565
SP_PIR_KEYWORDS	dna-binding	32	20.77922077922078	2.6531362382284323E-5	IRX4, PPARD, ONECUT3, PRRX1, PAX2, FUBP1, HIC2, GATA2, ZFP36L2, DBX2, MCM7, ZNF512B, OVOL2, LYL1, NKX6-2, TEAD4, GATA4, LHX6, ZNF71, ALX4, ZNF267, NFATC1, DNMT3A, LMX1B, NR4A1, VAX2, ARID1B, PURB, ZFP82, TRPS1, IRF4, UNCX	148	1868	19235	2.2264019908559525	0.00613645232341653	0.00613645232341653	0.03405598049366354
GOTERM_MF_FAT	GO:0003700~transcription factor activity	23	14.935064935064934	4.456045881961792E-5	IRX4, PPARD, LMX1B, ONECUT3, PRRX1, NR4A1, VAX2, AFF1, PURB, FUBP1, ZFP36L2, GATA2, DBX2, NKX6-2, TRPS1, TEAD4, GATA4, ZNF71, LHX6, IRF4, ALX4, UNCX, NFATC1	117	975	12983	2.6176550515012056	0.012707703144714588	0.006374166572101769	0.05912767098428251
GOTERM_MF_FAT	GO:0030528~transcription regulator activity	30	19.480519480519483	4.6260628218949735E-5	IRX4, PPARD, ONECUT3, PRRX1, CBX3, FUBP1, GATA2, ZFP36L2, DBX2, LYL1, NKX6-2, TEAD4, GATA4, LHX6, ZNF71, ALX4, ING1, NFATC1, LMX1B, NR4A1, VAX2, ACTN2, ARID1B, AFF1, PURB, BRWD1, TRPS1, IRF4, UBA52, UNCX	117	1512	12983	2.2017026183692847	0.013189355407909331	0.00441592347874431	0.06138300058955437
SP_PIR_KEYWORDS	Homeobox	10	6.493506493506493	1.0390757972746183E-4	IRX4, DBX2, LMX1B, ONECUT3, NKX6-2, PRRX1, VAX2, LHX6, ALX4, UNCX	148	242	19235	5.370504802322984	0.023819538917515537	0.011981548207481874	0.13331597038519494
UP_SEQ_FEATURE	DNA-binding region:Homeobox	9	5.844155844155844	1.1315376755665394E-4	DBX2, LMX1B, ONECUT3, NKX6-2, PRRX1, VAX2, LHX6, ALX4, UNCX	148	190	19113	6.117247510668563	0.06352541763211339	0.06352541763211339	0.1662151952030011
INTERPRO	IPR017970:Homeobox, conserved site	10	6.493506493506493	1.6943079667408432E-4	IRX4, DBX2, LMX1B, ONECUT3, NKX6-2, PRRX1, VAX2, LHX6, ALX4, UNCX	143	232	16659	5.0214010127803235	0.05582326060354259	0.05582326060354259	0.2303803687395467
INTERPRO	IPR001356:Homeobox	10	6.493506493506493	1.8653349054176992E-4	IRX4, DBX2, LMX1B, ONECUT3, NKX6-2, PRRX1, VAX2, LHX6, ALX4, UNCX	143	235	16659	4.957298021127809	0.06128255137322869	0.031125679653562388	0.2536080923664752
GOTERM_BP_FAT	GO:0045892~negative regulation of transcription, DNA-dependent	12	7.792207792207792	2.394167391029423E-4	DNMT3A, HIC2, PPARD, OVOL2, TRPS1, NKX6-2, CBX3, VAX2, PAX2, RASD1, TNFRSF4, PURB	117	356	13528	3.8974358974358974	0.25368109499583635	0.07053913025292358	0.3872271979802777
GOTERM_BP_FAT	GO:0051253~negative regulation of RNA metabolic process	12	7.792207792207792	2.7635769964765814E-4	DNMT3A, HIC2, PPARD, OVOL2, TRPS1, NKX6-2, CBX3, VAX2, PAX2, RASD1, TNFRSF4, PURB	117	362	13528	3.8328375123955234	0.28663051557981944	0.06532009543332484	0.44684923153428535
GOTERM_BP_FAT	GO:0045935~positive regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process	16	10.38961038961039	2.8079338434314725E-4	LMX1B, INS-IGF2, GDF6, NR4A1, IGF2, AFF1, ARID1B, PAX2, GATA2, OVOL2, TEAD4, GATA4, IRF4, ALX4, APBB1, ING1, UBA52	117	624	13528	2.9647161954854266	0.2904878791916772	0.05559132034355563	0.4540060932827772
SP_PIR_KEYWORDS	transcription regulation	31	20.12987012987013	2.861014557320531E-4	PPARD, ONECUT3, CBX3, PAX2, FUBP1, HIC2, GATA2, MCM7, ZNF512B, OVOL2, LYL1, ACTR5, TEAD4, GATA4, LHX6, ZNF71, ALX4, ZNF267, NFATC1, LMX1B, NR4A1, VAX2, ZNF503, ARID1B, PURB, ZFP82, BRWD1, TRPS1, IRF4, APBB1, UNCX	148	2026	19235	1.9886242362797149	0.06422950910828273	0.021885309008025433	0.36667963043025553
GOTERM_BP_FAT	GO:0045941~positive regulation of transcription	15	9.740259740259742	3.288404955184839E-4	LMX1B, GDF6, NR4A1, AFF1, ARID1B, PAX2, GATA2, OVOL2, GATA4, TEAD4, IRF4, ALX4, APBB1, ING1, UBA52	117	564	13528	3.0751045644662662	0.3309584887992343	0.05579841847201139	0.5314979267203146
GOTERM_BP_FAT	GO:0030182~neuron differentiation	13	8.441558441558442	3.736460569502736E-4	GATA2, PTPRM, LMX1B, NKX6-2, NTRK2, VAX2, LHX6, SPON2, BMPR1B, PAX2, APBB1, UBA52, DVL1	117	438	13528	3.431760527650938	0.366617519931592	0.05548631280585892	0.6037106858628127
GOTERM_BP_FAT	GO:0009890~negative regulation of biosynthetic process	15	9.740259740259742	3.8575406264601417E-4	DNMT3A, PPARD, INS-IGF2, CBX3, IGF2, VAX2, PAX2, TNFRSF4, PURB, HIC2, OVOL2, NKX6-2, TRPS1, INPP5D, APBB1, RASD1	117	573	13528	3.026804492773079	0.3759235540170869	0.05103838998286092	0.6232166160314079
GOTERM_BP_FAT	GO:0051173~positive regulation of nitrogen compound metabolic process	16	10.38961038961039	3.9256100258938637E-4	LMX1B, INS-IGF2, GDF6, NR4A1, IGF2, AFF1, ARID1B, PAX2, GATA2, OVOL2, TEAD4, GATA4, IRF4, ALX4, APBB1, ING1, UBA52	117	644	13528	2.872644263948612	0.38109514607597084	0.0468475053383669	0.6341809813784516
SP_PIR_KEYWORDS	Transcription	31	20.12987012987013	4.1611687699208796E-4	PPARD, ONECUT3, CBX3, PAX2, FUBP1, HIC2, GATA2, MCM7, ZNF512B, OVOL2, LYL1, ACTR5, TEAD4, GATA4, LHX6, ZNF71, ALX4, ZNF267, NFATC1, LMX1B, NR4A1, VAX2, ZNF503, ARID1B, PURB, ZFP82, BRWD1, TRPS1, IRF4, APBB1, UNCX	148	2071	19235	1.945414149059731	0.09204386118148578	0.02385076710723244	0.5329027741534542
GOTERM_BP_FAT	GO:0010628~positive regulation of gene expression	15	9.740259740259742	4.432411155030251E-4	LMX1B, GDF6, NR4A1, AFF1, ARID1B, PAX2, GATA2, OVOL2, GATA4, TEAD4, IRF4, ALX4, APBB1, ING1, UBA52	117	581	13528	2.98512732247672	0.418276899805729	0.04805781331093795	0.7157789415674687
GOTERM_BP_FAT	GO:0010557~positive regulation of macromolecule biosynthetic process	16	10.38961038961039	4.6155570690874307E-4	LMX1B, INS-IGF2, GDF6, NR4A1, IGF2, AFF1, ARID1B, PAX2, GATA2, OVOL2, TEAD4, GATA4, IRF4, ALX4, APBB1, ING1, UBA52	117	654	13528	2.8287200397292143	0.43115726842562685	0.04592462999532321	0.7452510414078239
GOTERM_BP_FAT	GO:0010605~negative regulation of macromolecule metabolic process	17	11.03896103896104	5.16199444797123E-4	DNMT3A, PPARD, INS-IGF2, CBX3, IGF2, VAX2, PAX2, TNFRSF4, PURB, HIC2, PSMD14, OVOL2, NKX6-2, TRPS1, INPP5D, APBB1, RASD1, UBA52	117	734	13528	2.6779384708540026	0.46791848930889846	0.047376265879934154	0.8331357428867259
SMART	SM00389:HOX	10	6.493506493506493	6.498835161659957E-4	IRX4, DBX2, LMX1B, ONECUT3, NKX6-2, PRRX1, VAX2, LHX6, ALX4, UNCX	94	235	9079	4.110004526935265	0.0611121043483871	0.0611121043483871	0.7148546721137405
GOTERM_BP_FAT	GO:0048666~neuron development	11	7.142857142857142	6.644393376130948E-4	PTPRM, LMX1B, NTRK2, VAX2, LHX6, PAX2, SPON2, BMPR1B, APBB1, UBA52, DVL1	117	339	13528	3.7518089907470435	0.5561260859146907	0.05636452630098554	1.0711855860658592
GOTERM_BP_FAT	GO:0031328~positive regulation of cellular biosynthetic process	16	10.38961038961039	7.455682283180391E-4	LMX1B, INS-IGF2, GDF6, NR4A1, IGF2, AFF1, ARID1B, PAX2, GATA2, OVOL2, TEAD4, GATA4, IRF4, ALX4, APBB1, ING1, UBA52	117	685	13528	2.700704972237819	0.5980486355736032	0.05895245262485049	1.2012386445706014
