	length.of.MHL.in.tissue	length.of.MHL.in.plasma	pvalue
6-P-1	137.865871174456	163.626265822785	1.42963643217325e-25
6-P-2	149.054264043905	154.124032258065	0.0434217570191748
6-P-3	146.188531330519	159.46034906876	1.69410079280111e-09
6-P-4	135.509691871628	157.17524005487	3.10370027392441e-19
6-P-5	135.302621305075	165.756717147044	6.9426467098231e-32
7-P-1	137.964981794817	159.279907213079	3.35647598218571e-23
7-P-2	137.337213609186	169.393916493482	5.63754378331202e-32
7-P-3	137.15637158237	167.335575099155	1.74193940110865e-31
7-P-4	139.201539338654	158.405975035809	1.62978626489731e-18
7-P-5	132.247434639065	176.748414711477	5.71241180350739e-66
PC-P-1	131.409132101778	170.929843693202	1.86173844227367e-45
PC-P-2	132.625902773563	161.00434987068	6.72882572120825e-37
PC-P-4	126.618364330583	167.311329912633	1.60994167695909e-62
PC-P-6	131.591703442189	175.721710228131	3.05049140551795e-66
PC-P-7	128.333309908644	171.045855881515	3.74826838976025e-63
