	6-P-10	6-P-1	6-P-2	6-P-3	6-P-4	6-P-5	6-P-6	6-P-7	6-P-8	6-P-9	6-T-1_1	6-T-1_2	6-T-2_1	6-T-2_2	6-T-3_1	6-T-3_2	6-T-4_1	6-T-4_2	6-T-5_1	6-T-5_2	7-P-10	7-P-1	7-P-2	7-P-3	7-P-4	7-P-5	7-P-6	7-P-7	7-P-8	7-P-9	7-T-1_1	7-T-1_2	7-T-2_1	7-T-2_2	7-T-3_1	7-T-3_2	7-T-4_1	7-T-4_2	7-T-5_1	7-T-5_2	CTT-FFPE-100ng_1	CTT-FFPE-100ng_2	CTT-FFPE-5ng_1	CTT-FFPE-5ng_2	CTT-frozen-100ng_1	CTT-frozen-100ng_2	CTT-frozen-5ng_1	CTT-frozen-5ng_2	NC-P-1	NC-P-2	NC-P-3	NC-P-5	NC-P-6	NC-P-7	NC-P-8	NC-P-9	PC-P-10	PC-P-1	PC-P-2	PC-P-3	PC-P-4	PC-P-5	PC-P-6	PC-P-7	PC-P-8	PC-P-9	PC-T-1_1	PC-T-1_2	PC-T-2_1	PC-T-2_2	PC-T-4_1	PC-T-4_2	PC-T-6_1	PC-T-6_2	PC-T-7_1	PC-T-7_2
6-P-10	1	0.745656095877152	0.723757307354713	0.786075866717042	0.688903814045654	0.760930676883275	0.680715104757836	0.709907311108656	0.725364499277233	0.757671429330736	0.376409363495249	0.388051916321135	0.403025269855704	0.444463536022826	0.566491576579227	0.554845997268741	0.259560489657805	0.246020459165715	0.668792863826192	0.663488805547187	0.754264643231406	0.779649920788936	0.702889362598605	0.740473939013094	0.709649208638223	0.72265837842123	0.74065471786661	0.771795614782994	0.739402536821519	0.685616616977392	0.576703006490416	0.552416007696747	0.431011606732628	0.424707669377105	0.495553236264617	0.474848606267486	0.511170117971023	0.510891263726453	0.623472036709133	0.596977931192529	0.24743776492411	0.252480485597151	0.204857254529406	0.230961482427503	0.303965313739291	0.307791037410787	0.279511818527139	0.305998396690049	0.764143411410293	0.761744881138732	0.798281926819039	0.704991161363483	0.735385084900532	0.721648621353437	0.747368892034834	0.759763824963371	0.708595055962719	0.728256170258447	0.701169912960609	0.70327302959884	0.632365210100579	0.660817860083006	0.726638012476002	0.7247934031989	0.6252544140091	0.686332161960871	0.56296717460558	0.56037446361977	0.407256540756559	0.400127826417251	0.484228604971966	0.475160960775997	0.511076799022074	0.517348412433724	0.435948375279532	0.441120959963152
6-P-1	0.745656095877152	1	0.710028028922649	0.775658684007818	0.680716255950673	0.755523332484145	0.650219100256098	0.697692755459654	0.722860133758915	0.748733240199573	0.370749443039291	0.394130658044436	0.391488199309543	0.444742199810998	0.555291391645575	0.5357398998151	0.249204615486373	0.222832241965803	0.658481479001896	0.654872109658622	0.721504134623796	0.761657492442074	0.68515651586071	0.734114705092135	0.704223234485246	0.709065412136138	0.733094264960536	0.763126613065232	0.737686512977437	0.679239993879599	0.569074808432903	0.542299106384073	0.417086702004028	0.408951096677077	0.491247775686027	0.465284162956502	0.493092139081483	0.498424394931268	0.613105638928031	0.603927981902474	0.225706673931575	0.228775772764803	0.188839818634817	0.210625513357346	0.28037470902331	0.281626502713695	0.252435750716102	0.280741998273527	0.755960119054705	0.74954606424755	0.780240858310765	0.687411572533572	0.718997700033672	0.712919601706654	0.728867353142373	0.740383705624086	0.689224892989315	0.714848118914368	0.690589480586727	0.690015581644721	0.621500816532265	0.660966173747696	0.715053182094909	0.721597416124953	0.613984063141772	0.672236284732836	0.54515474461539	0.532108316946565	0.392065014112592	0.393290187272776	0.471104096245777	0.464885490124521	0.497215544714484	0.493841652891341	0.430914508982862	0.434952093392328
6-P-2	0.723757307354713	0.710028028922649	1	0.754851157620452	0.65954823941461	0.725734482111879	0.646096169630078	0.679021388871357	0.701747776821566	0.725569640275269	0.360830776380105	0.379158375781255	0.404975083987266	0.45113990109616	0.540953103090846	0.535651883570255	0.255715447824235	0.239437781398211	0.659303634408	0.639778389509623	0.713740326262658	0.739538076211371	0.671151245627765	0.710213135516565	0.696849756433808	0.713087845556741	0.72145592754972	0.729567302677753	0.720499095714338	0.668023505639515	0.551920821748146	0.54319965455051	0.410089234258994	0.405845603848937	0.476124760527527	0.461735226183917	0.488819621185446	0.488713312520613	0.59978504487042	0.570954578844212	0.23175146214093	0.234344755235537	0.193532861844245	0.218040209615366	0.286130472845678	0.285364749299679	0.262564342759698	0.279406183446799	0.73591528808076	0.722660097194885	0.763359800220826	0.668577479269675	0.706250245417656	0.689058761854675	0.710516006933591	0.715393857056323	0.675202797384801	0.693389784255815	0.668410343951838	0.678466957762606	0.620873244214118	0.643035850095493	0.696190073446709	0.709713665911856	0.598755651037998	0.6554827556164	0.538266676605444	0.542666409376745	0.40005834920256	0.394475895491322	0.467365858937757	0.458535318420354	0.491477756804936	0.495157587788005	0.424880253949041	0.428955363516224
6-P-3	0.786075866717042	0.775658684007818	0.754851157620452	1	0.716599047790377	0.795233567994551	0.688128254073935	0.755266742729614	0.751564417477354	0.782575677544336	0.39772520139651	0.413257559437027	0.414032785491332	0.465219699594246	0.613897462555839	0.591023070812612	0.270757035289872	0.249163809929955	0.7104828290003	0.706512249964902	0.769413544236519	0.824896106777675	0.724642144763823	0.778442091607499	0.734925715998178	0.753125782739544	0.780560969325762	0.794567849208795	0.774404464664731	0.723819804910033	0.611020350762946	0.583087454371338	0.448498271550857	0.450391038904691	0.530907889201018	0.500528179840029	0.540860335713279	0.534523313834712	0.665626789551041	0.642938463553664	0.253949167691941	0.256095128415732	0.203897349816813	0.225316295678446	0.31363772717194	0.317029992282199	0.2682205380643	0.300854026150727	0.819769970627321	0.805734317604865	0.854934536765532	0.737448375094962	0.780077146094638	0.778215440908076	0.767086189781044	0.79292523858104	0.736869206868602	0.759824888219796	0.728475410561646	0.741089168352373	0.667295918344512	0.684873924958671	0.774683845780892	0.758778121849165	0.644900153892624	0.709931407077578	0.585186597654459	0.578145160239955	0.436184386733049	0.411525369876106	0.506499834637852	0.494366095809825	0.532641946805816	0.53326774709688	0.45669543248799	0.466055348121864
6-P-4	0.688903814045654	0.680716255950673	0.65954823941461	0.716599047790377	1	0.700423399619372	0.608317510986546	0.663974410185762	0.663904672639716	0.685231512221077	0.379912039266385	0.392625852633941	0.409216443748487	0.46569813738899	0.553489632539747	0.537092241423634	0.2770922924675	0.250927405219174	0.642097281714414	0.643891818081379	0.686974137886523	0.718360205545124	0.654742099612986	0.678252417474447	0.65201239785012	0.663051965376192	0.686493920374765	0.698312947899997	0.675697406271041	0.63009066575743	0.580668188179781	0.559821068526224	0.43724878931257	0.437344831405368	0.483863600399356	0.468518851716141	0.505229249547234	0.49643191311003	0.607116601601937	0.58455975599972	0.240505722213555	0.243756516965886	0.195348947682873	0.221033570962047	0.306090791303573	0.29682268326596	0.264144994625422	0.299449455971193	0.712094255420039	0.710349744764393	0.731027829210136	0.646596519368992	0.695629516443168	0.680327349778579	0.667291499677689	0.688907478967603	0.667175222898053	0.6685792903751	0.661599688747671	0.654358191243057	0.604122584052885	0.63177153024708	0.672885049892596	0.680535707573195	0.609601569834182	0.628544459733442	0.571239219639012	0.560952611598138	0.417817420253428	0.41335924185755	0.491451336068889	0.472308773238427	0.526078297293635	0.519968411941847	0.4530344146843	0.454682240369201
6-P-5	0.760930676883275	0.755523332484145	0.725734482111879	0.795233567994551	0.700423399619372	1	0.68979399712245	0.722036537612937	0.72560386731374	0.755875815362174	0.371727241080946	0.384325755155838	0.404126801015446	0.460708627592816	0.567736505095368	0.550181915695112	0.250309597651656	0.228828870359215	0.682889491029486	0.679231314617893	0.752996232878776	0.796070753962149	0.702485987959784	0.745027345776016	0.710398937027006	0.725044677799573	0.738796765328718	0.771414183986298	0.75322743136512	0.687438998208694	0.578326543253051	0.553501008822219	0.424267950434382	0.425664458574258	0.498915799048019	0.474746249569901	0.511187865666346	0.504618843918505	0.628534217535404	0.609326535791382	0.231105244363732	0.23106319037969	0.195524341079929	0.210822251476637	0.289400071068542	0.290850531153675	0.252719979133927	0.285380047352871	0.783697166011395	0.771210708957436	0.799038079981245	0.707952745518283	0.745276528049355	0.738547597470545	0.754526361100901	0.756536400759109	0.714092668998201	0.740824224701697	0.712592529559187	0.703055790981549	0.638650507725341	0.642898079209696	0.736954318720917	0.733069881693667	0.623421659322242	0.676809193803356	0.572922061903946	0.559505950837133	0.411927129898466	0.404622838752299	0.489925887800952	0.472647776430008	0.515627854542942	0.519987012686343	0.438834538655191	0.443232604165964
6-P-6	0.680715104757836	0.650219100256098	0.646096169630078	0.688128254073935	0.608317510986546	0.68979399712245	1	0.65573054453151	0.666692474791234	0.659113586155398	0.320877869511632	0.341454788086683	0.368737818108354	0.397375143874493	0.505582798320293	0.492497141950732	0.223125193509963	0.212016672928097	0.591361292385259	0.603203033761671	0.662885637683437	0.695284240756998	0.62658059135525	0.644102374254928	0.633085753526015	0.652279116645938	0.66759997118332	0.690179003570823	0.653974823813018	0.589467786078287	0.530244814480733	0.49320824051307	0.384058517274852	0.378581847091101	0.445327142164196	0.427459872983989	0.450410248234797	0.458935203292061	0.557214026069053	0.537060316984298	0.208196601632568	0.213275980326365	0.18264876696274	0.197636021626783	0.257701644009302	0.260489418362391	0.252434544087844	0.262180408783458	0.687431937142986	0.678071850103522	0.707034649230857	0.628874599335821	0.653987750135776	0.670687567537823	0.663944156692018	0.686010392779401	0.627750374800344	0.650757336787714	0.623842536230689	0.625357411808113	0.555808789872771	0.594895186915496	0.650579103451534	0.64664194377929	0.545161727429106	0.610626717944261	0.498915509935071	0.5032434904637	0.369206775333924	0.356513776695004	0.433442838820147	0.432199330095832	0.455023860336755	0.45511372262271	0.400411151056381	0.394775392609034
6-P-7	0.709907311108656	0.697692755459654	0.679021388871357	0.755266742729614	0.663974410185762	0.722036537612937	0.65573054453151	1	0.698449456031799	0.711680234081595	0.368369704703485	0.388228646925473	0.392963614495779	0.444750006435491	0.545242994230941	0.527392074767291	0.262504291278383	0.252749516666189	0.642566282264814	0.634699251244085	0.701869991602777	0.730799859326154	0.666679598301828	0.704506530326698	0.680852412452121	0.688295949940982	0.708537833724453	0.712967621056376	0.696483826503411	0.653094860360343	0.564855291056936	0.537554145107584	0.419067900018213	0.416897771803116	0.486343553218035	0.474376254616496	0.492997123340615	0.495596328027883	0.60961598407393	0.577377654204271	0.245599259996849	0.244632975358249	0.208534652351346	0.22932647271429	0.291633833503261	0.29362309768358	0.271014780894191	0.293736395069397	0.725670329606561	0.727048371795644	0.757297416366358	0.675764604744657	0.700964002661963	0.699122743017272	0.695293568208681	0.717993305876882	0.658367995413149	0.689402144682634	0.676597672088906	0.673686376754211	0.607136146874961	0.639469530486466	0.680292271546031	0.693884346457794	0.599338083324406	0.654083550731665	0.5520702556281	0.546982012655706	0.405662593222792	0.392327431041048	0.472747026445045	0.461267646158184	0.504399671101251	0.502495617139295	0.433346752459912	0.44081940522912
6-P-8	0.725364499277233	0.722860133758915	0.701747776821566	0.751564417477354	0.663904672639716	0.72560386731374	0.666692474791234	0.698449456031799	1	0.716749785030987	0.344896873729037	0.359390046937337	0.390809921718334	0.414778432217067	0.533995637406508	0.526198725330508	0.241494274072399	0.229465644739578	0.638092714586137	0.620444948989301	0.71299538612289	0.739780460626183	0.687920533243492	0.710935614682181	0.683606717118247	0.713846423154935	0.713701108762645	0.735274613026987	0.708175250170919	0.653696692501894	0.542391213227434	0.53327454475543	0.411049822503738	0.41081079615032	0.468389784298433	0.454149561076972	0.481663968889325	0.486631686201456	0.591916600145509	0.568723723682252	0.22784944567612	0.223424313183129	0.200728341226398	0.218612762543741	0.273250118811545	0.277624630602961	0.261427758771616	0.279994377832255	0.738616772208203	0.730120972287123	0.757953764728453	0.672320878126572	0.711246269176077	0.707744373286857	0.716392805477344	0.724081020338979	0.678330305351517	0.697316773151844	0.680682346653433	0.688858299053792	0.609107992181321	0.637607450603387	0.702842445311097	0.70084279619747	0.597168557499147	0.660036597284466	0.533700220374941	0.540814242554456	0.386266266269222	0.385759613166965	0.462343480870947	0.455669662715984	0.481228339597328	0.485300747931864	0.40810246955865	0.412706338940165
6-P-9	0.757671429330736	0.748733240199573	0.725569640275269	0.782575677544336	0.685231512221077	0.755875815362174	0.659113586155398	0.711680234081595	0.716749785030987	1	0.38423273945884	0.401719464313095	0.398037081546591	0.448389598207048	0.574278791059221	0.558942411407484	0.257424109858448	0.239930506620232	0.665713829630318	0.66849015497596	0.743745886035716	0.771110586169301	0.704530407915835	0.741657923587462	0.715519620739423	0.711532422996357	0.749382323434082	0.770911680475498	0.736791541544494	0.694525467644665	0.578615138651202	0.553275280886597	0.434735482956528	0.431144420632288	0.500866089057302	0.471085268066614	0.513003744352924	0.507676847018077	0.624175085389703	0.609500104283534	0.245580830118155	0.2460262295462	0.200060512943173	0.225758894570994	0.304994012870507	0.301420305128654	0.265968905250832	0.295764133064717	0.771140410844097	0.765292316441527	0.795500588838224	0.692830435176573	0.736218239137766	0.735348272136155	0.753748551938179	0.748648208765693	0.696474067874947	0.729715572745676	0.702325092145137	0.704118528462645	0.639272017509793	0.662502152733436	0.720188540839613	0.733165984396257	0.621974790480485	0.679243492713952	0.564231646308789	0.550551234251458	0.41266898526275	0.393667240964313	0.484155775958225	0.472434595630231	0.52184003660852	0.512221577127491	0.435175743728729	0.453270526783326
