	X	coef	exp.coef.	se.coef.	z	Pr...z..	Symbol	X.1
4404	hr	0.0939631006916441	1.09851921057023	0.0383946460410755	2.44729696403817	0.0143932193913968	ANK1	ENSG00000029534.18
44363	hr	-0.0396553519905834	0.961120630388917	0.0383694158492476	-1.03351461347205	0.301363135333262	APC	ENSG00000134982.15
56928	hr	-0.173625491461056	0.840611654957822	0.0386127988810856	-4.49657876383849	6.90556057023015e-06	CDH1	ENSG00000039068.17
2105	hr	0.341517750002326	1.40708156878552	0.0387980950131055	8.80243604452656	1.3387785594601e-18	CDH11	ENSG00000140937.12
40620	hr	0.0501489971257985	1.05142774441758	0.0383651911090079	1.30714837268265	0.191162325431021	CDH13	ENSG00000140945.14
11629	hr	0.201919999392084	1.22375010344298	0.0385333242851793	5.24013962298464	1.60455147645291e-07	CLDN11	ENSG00000013297.9
39782	hr	0.381522500469266	1.46451261406173	0.0388787237857025	9.8131436250891	9.88404137243779e-23	COL1A2	ENSG00000164692.16
19791	hr	0.3102707783501	1.36379435012337	0.0386675732790374	8.02405612866076	1.02309518534808e-15	EGFR	ENSG00000146648.14
36017	hr	-0.508677722724889	0.601290125659788	0.0389524010153479	-13.0589568156392	5.64966468277528e-39	ESR1	ENSG00000091831.20
3294	hr	-0.38643120146083	0.679477470824001	0.0388007962003062	-9.95936267559839	2.29529363870918e-23	FHIT	ENSG00000189283.8
24119	hr	0.0318069916325506	1.03231824001761	0.0383539199355596	0.82930223784143	0.406933404908106	GATA5	ENSG00000130700.6
14328	hr	0.28137627339133	1.3249520543554	0.0386174289624237	7.28625081864255	3.18699409842479e-13	GSTP1	ENSG00000084207.14
32964	hr	0.00444583300791736	1.00445573038541	0.0383549949843667	0.115912751643677	0.907721689470711	HACE1	ENSG00000085382.10
11031	hr	0.120733971701785	1.12832470613603	0.0383821936331792	3.14557247185105	0.00165762120845496	HOXA11	ENSG00000005073.5
51822	hr	-0.223609404747869	0.799627404047363	0.0385237775201686	-5.80445166964225	6.45769836081819e-09	HOXA9	ENSG00000078399.14
8857	hr	0.0581620786589743	1.05988676681553	0.0383761698117287	1.51557799916756	0.12962609366874	KCNH8	ENSG00000183960.7
30475	hr	-0.0944879348628835	0.909838711888622	0.0384103917151871	-2.45995759594204	0.0138953432322314	L1TD1	ENSG00000240563.1
45136	hr	0.432476277628433	1.54106891704961	0.0391150186631164	11.0565274518516	2.03837182217339e-28	LOX	ENSG00000113083.11
37766	hr	-0.0761079231737206	0.926716187010225	0.0384615732782139	-1.97880421123675	0.0478380541831179	MAPK13	ENSG00000156711.15
30607	hr	-0.316742444248897	0.728518365059361	0.0386742005589947	-8.19001917740301	2.61184557339793e-16	MGMT	ENSG00000170430.9
42590	hr	0.270779378848656	1.31098580727878	0.0385773097894457	7.01913586837872	2.23244614805831e-12	CDKN2B	ENSG00000147883.10
46849	hr	0.189044038610914	1.20809415409983	0.0385300668161304	4.90640308289762	9.27617922397313e-07	PAX6	ENSG00000007372.19
40590	hr	-0.0721667425900656	0.930375749614601	0.0383674235468135	-1.88093793949996	0.0599803614924656	PTEN	ENSG00000171862.8
1911	hr	-0.120702498018896	0.886297595665363	0.0384980372003122	-3.13528966141466	0.00171684497596548	RXRB	ENSG00000204231.9
37687	hr	-0.0319151151972551	0.968588797058726	0.0383942659006523	-0.83124691796003	0.40583415487285	RASSF1	ENSG00000068028.16
57918	hr	-0.145536716610282	0.86455814584668	0.0384120518526286	-3.78882953633009	0.00015135872241646	SPAG6	ENSG00000077327.14
27513	hr	-0.000284103008011248	0.999715937345427	0.0383594140461264	-0.00740634379006988	0.994090646663162	SYK	ENSG00000165025.13
33842	hr	0.234188513682642	1.26388272893929	0.0385449977831675	6.07571739918251	1.23434625585877e-09	THBS1	ENSG00000137801.10
34286	hr	0.0699110411485034	1.07241277640181	0.0383752099170525	1.82177612316949	0.0684889620664769	TIMP3	ENSG00000100234.11
57446	hr	0.194340458155535	1.21450970230937	0.0383948758667335	5.06162485926716	4.15698359529219e-07	ZAR1	ENSG00000182223.7
19161	hr	-0.422013602951262	0.655725119535932	0.0387574236444544	-10.888587611567	1.30650711266913e-27	ZNF677	ENSG00000197928.9
2423	hr	-0.0404726511194294	0.960335428251204	0.0383812448757429	-1.05449031813474	0.291658490993737	RXRA	ENSG00000186350.9
