"","R","Pvalues"
"TCGA-READ",0.203891100745974,0.572071732102194
"TCGA-UCEC",-0.0185224771277597,0.91589203372812
"TCGA-KIRC",-0.415366013783426,0.000285406076650529
"TCGA-THCA",-0.10525309692408,0.43167890384069
"TCGA-PRAD",0.0812409201096753,0.566954000129593
"TCGA-COAD",0.103663972925515,0.518935504953403
"TCGA-LUAD",-0.216689510581508,0.0992578865718308
"TCGA-STAD",0.35151008565663,0.0485187014257136
"TCGA-HNSC",0.212941090072932,0.165196703396107
"TCGA-LIHC",-0.0446928989757387,0.757939787539454
"TCGA-BRCA",0.239175258827992,0.0107308923674693
"TCGA-LUSC",-0.23789642338079,0.099761298083229
"TCGA-CESC",-0.73655826693514,0.472899420659075
"TCGA-KIRP",-0.186662579010314,0.30633703312473
"TCGA-BLCA",0.317361682974341,0.185513038269595
"TCGA-ESCA",-0.15890035154984,0.640740096995586
"TCGA-KICH",-0.0474270841100296,0.825821040572498
"TCGA-GBM",0.892614305185338,0.0415557722495164
"TCGA-CHOL",-0.795491231518364,0.0103602010554763
"TCGA-PCPG",-0.985735663870741,0.107656065041717
"TCGA-PAAD",-0.803865894341789,0.196134105658211
