	MethQ0	MethQ25	TPMBlood	Blood2TissueRatio
BIN2	0.0380526135555556	0.692999397666667	235.2	37.46268251
C16orf54	0.0384902456666667	0.634560895333333	63.03	38.90641673
C19orf35	0.094108191	0.627955447	20.44	33.3471328
CD7	0.072590439	0.672038332	67.17	20.91914915
CFP	0.022835262	0.601960497	244.4	44.505269
CYTIP	0.088116736	0.717904867	192.4	22.8633446
FGR	0.069840836	0.745351585	597.3	37.78979188
GPSM3	0.0804273527142857	0.702600024714286	831.1	32.28411865
ICAM3	0.121451089	0.642405713	403.5	28.40833701
IL2RG	0.045545533	0.682142253	422.4	24.98398406
ITGB2	0.0530837265	0.6304347715	572.7	30.19165564
NFAM1	0.012068342	0.603243537	109.2	47.21493889
OSM	0.0590352353333333	0.602994503	49.48	46.86288795
PRF1	0.1469386705	0.621175494	138.9	30.98476364
PSTPIP1	0.090827288	0.636501912	103.6	27.15204201
PTPRC	0.0430587153333333	0.668270167333333	229.8	22.04525003
S1PR4	0.0520188705	0.6438894815	260	52.48238783
SPI1	0.0939671728	0.7329059096	908	52.78974151
TAGAP	0.078276783	0.7803863615	49.66	22.53925923
TBC1D10C	0.079222634	0.634709697	185	20.19357706
WAS	0.066367241	0.669330131	329.8	31.08416201
