""	"phen"	"cg06830064"	"cg08165221"	"cg08432727"	"cg08526991"	"cg11716272"	"cg12312988"	"cg14776201"	"cg15989068"	"cg16330247"	"cg18863333"	"cg18897632"	"cg19958021"	"cg20008332"	"cg20401252"	"cg20927661"	"cg26659079"
"jhu-usc.edu_ESCA.HumanMethylation450.9.lvl-3.TCGA-JY-A93C-01A-11D-A388-05.gdc_hg38.txt"	1	0.727159956939534	0.620291473469208	0.82026160059793	0.881410103788042	0.646525769947697	0.417208702584359	0.857543913465263	0.670368221443884	0.725823929744788	0.508483696688419	0.878667157845058	0.694951156314035	0.63613538363111	0.753247814061071	0.840382596812574	0.761370449196028
"jhu-usc.edu_ESCA.HumanMethylation450.10.lvl-3.TCGA-VR-A8ET-01A-11D-A409-05.gdc_hg38.txt"	1	0.825317877315943	0.305420440631679	0.325903402811973	0.529305770662961	0.265735146497796	0.0478036937972549	0.350046323198882	0.407970952380617	0.329268653506015	0.10255970152226	0.534126013610391	0.677198100963013	0.211326101455867	0.276305776991108	0.453027295292354	0.357396634826383
"jhu-usc.edu_ESCA.HumanMethylation450.7.lvl-3.TCGA-L5-A8NQ-01A-11D-A36K-05.gdc_hg38.txt"	1	0.81371174620733	0.330356826048504	0.381198096966421	0.531216425635369	0.372168758814832	0.0552781911261314	0.13972461180684	0.426533085836312	0.326400059435581	0.120947566410775	0.1886456941452	0.630454254774469	0.205972417765183	0.355654781707849	0.490378384798569	0.351725684467722
"jhu-usc.edu_ESCA.HumanMethylation450.4.lvl-3.TCGA-S8-A6BV-01A-21D-A31V-05.gdc_hg38.txt"	1	0.665924038074504	0.443628754883871	0.53846018262278	0.756125870886387	0.482401882222826	0.0906825665250065	0.653462185428879	0.484262810045505	0.582509925276572	0.292046512151972	0.731628753273236	0.787254083644156	0.449923134366646	0.536804688626796	0.670285488007515	0.499978673121278
"jhu-usc.edu_ESCA.HumanMethylation450.1.lvl-3.TCGA-L5-A43C-11A-11D-A249-05.gdc_hg38.txt"	0	0.926143212826036	0.170449309728287	0.210041966503599	0.346026899698042	0.163428499708827	0.0621838178972443	0.0982265221014325	0.285291481261658	0.422575194681734	0.0614648946563231	0.218930259327534	0.830044532843676	0.0939251142391854	0.198346468766974	0.23530442327134	0.256371136282872
"jhu-usc.edu_ESCA.HumanMethylation450.8.lvl-3.TCGA-2H-A9GJ-01A-11D-A37D-05.gdc_hg38.txt"	1	0.2615262995162	0.614538951776265	0.708181903476716	0.911871927520059	0.679490810649418	0.0755562767865791	0.306948947344709	0.629414934660217	0.393664239019784	0.570646037711152	0.751183924662651	0.291293491244105	0.657887854230786	0.490801635722304	0.863952891524463	0.725597336190022
"jhu-usc.edu_ESCA.HumanMethylation450.2.lvl-3.TCGA-L5-A4OF-11A-12D-A265-05.gdc_hg38.txt"	0	0.917721388364111	0.0698316444530924	0.0843606689204213	0.182083017305852	0.0706306501282477	0.0391704529458981	0.0459383143459931	0.152811408969121	0.362739517985562	0.0321416567861834	0.0422802453067249	0.802938063032512	0.0222418098621514	0.0995764587997197	0.0224835850935158	0.157853019399153
"jhu-usc.edu_ESCA.HumanMethylation450.8.lvl-3.TCGA-JY-A93E-01A-11D-A37D-05.gdc_hg38.txt"	1	0.788564553708983	0.466013008667603	0.50205899152268	0.757636327314647	0.515558404550117	0.507323493146476	0.735196165496445	0.483902291821576	0.592379538138548	0.293870864151723	0.751662365825724	0.883284406231102	0.377435847675242	0.544484415075076	0.71005750959693	0.510540869507363
"jhu-usc.edu_ESCA.HumanMethylation450.8.lvl-3.TCGA-Z6-A8JE-01A-11D-A37D-05.gdc_hg38.txt"	1	0.547871064314408	0.49728794622974	0.615205503524798	0.796264716020043	0.547493778663697	0.0596692491802821	0.63494916017109	0.489451405086056	0.570707368063702	0.349131873081332	0.788461933509605	0.738446234579275	0.479032828876857	0.510412545773614	0.728647434968867	0.549126562383575
"jhu-usc.edu_ESCA.HumanMethylation450.2.lvl-3.TCGA-L5-A4OI-01A-11D-A265-05.gdc_hg38.txt"	1	0.677886614216375	0.54771625535894	0.567739083181902	0.873348721846169	0.618934462057121	0.595426757590613	0.82985657879811	0.559487302857867	0.73727113817163	0.383575032589704	0.805286208333953	0.87468339417028	0.485813855539795	0.550461461374901	0.787592991866088	0.612774392300939
