	corvalue	P
AFF3	0.0971095291929944	6.89642092970802e-22
ARID4B	0.118740192178578	5.51819775808887e-32
CACNA2D3	0.0553553926513649	4.44470906725781e-08
CHMP3	0.0619715585274736	8.93020592049721e-10
CIR1	0.0444270039749962	1.13001999702609e-05
COPS7B	-0.0891381884204496	1.11790537388299e-18
DIS3L2	-0.00165938317078664	0.869798782791936
DNAH12	0.134645659756315	1.01924587880981e-40
DOCK7	0.0312824951799744	0.00199589064615092
DRAM1	0.055741952851923	3.57860959857317e-08
EIF4G3	0.0446126965323972	1.03829896666992e-05
EMC3	-0.047771700847256	2.34011422109571e-06
EXPH5	0.0665282058797948	4.73784658203494e-11
FAM24B	0.0452123010673138	7.88220740484798e-06
FBXO16	0.089624806314248	7.24919432845817e-19
FRMD4B	0.0613034070609168	1.35063360168375e-09
FSTL1	0.0140273557784426	0.165841217257532
GIGYF2	0.148489059391737	3.09533595694941e-49
GPR89A	-0.0881327363280567	2.71564309859945e-18
HPCAL4	0.0467719833055674	3.78833849765418e-06
HRH1	-0.0104647821995733	0.30125767949422
IFT172	0.101313630937446	1.08496791727318e-23
INO80D	0.166925813887198	6.35113463593393e-62
ITGA6	-0.0123110100124832	0.223936023129692
KCNJ13	0.120420279716097	7.44770640292166e-33
KIAA1324	0.0447557719290673	9.72522955745062e-06
KPNA4	-0.0718499322919137	1.19000104974953e-12
LMOD1	0.160387885709468	3.01516850770694e-57
LRRFIP1	0.0368960971480761	0.000266519835604138
MAFK	0.0187097790285948	0.0645568096521478
MITD1	-0.0205393606354906	0.0424487902332936
MTMR8	0.437763122895001	0
OSBPL9	0.063075157947739	4.46674334097465e-10
PLEKHG5	-0.0697593410631303	5.22824446350194e-12
PMVK	-0.0986783942685283	1.49502483198183e-22
PPIE	-0.0901787808118532	4.41467862421635e-19
PTPN4	0.165069519045087	1.41425812512253e-60
RAD54L2	0.0799431411385922	2.58530456418758e-15
RNF103-CHMP3	0.00854490356406914	0.398623873418939
RPRD2	0.0896199385934827	7.28075675291393e-19
RYR2	0.157672689646582	2.31231176573005e-55
SDHB	-0.0622721650477714	7.4031059993175e-10
SMARCA2	0.169869642225519	4.29684600266481e-64
SMIM12	-0.101422267594504	9.72316098071365e-24
SNX27	0.0347366780049226	0.000598425844962272
SRSF11	0.0360521422665147	0.000367492867331298
SSB	-0.0434223804299486	1.77638759938069e-05
SYTL1	-0.0611846268039457	1.45306049478454e-09
THRB	0.0801870360791922	2.12784368531341e-15
TMC5	0.0358084310162717	0.000402722002096792
TMCC2	-0.0468775771226736	3.60201168182761e-06
