Accession,Title,Count
GSE41782,A genome-wide comparative study of DNA methylation in great apes,32
GSE951,"267B1, PC3M, LNCaP Methylation Profile vs. mRNA Expression Level",14
GSE2138,Colon cancer profiling,40
GSE3280,Expression profiling of leukemia cell lines,4
GSE4717,5`aza-dC demethylation of three short term cultured glioblastomas,12
GSE7454,Modulation of gene expression by decitabine in U-2OS cells in vitro and in vivo,4
GSE7687,Methylation-silenced genes in colorectal cancer cell lines,4
GSE9015,Genome-Wide Mapping of Hypomethylated Sites in Human Genomes,8
GSE10504,Using ChIP-chip technology to reveal common principles of transcriptional repression in normal and cancer cells,47
GSE15745,Abundant Quantitative Trait Loci for CpG Methylation and Expression Across Human Brain Tissues,1658
GSE16559,Lung adenocarcinoma and mesothelioma DNA methylation,285
GSE17448,Methylation Pattern of Human Mesenchymal Stromal Cells ,16
GSE17648,Epigenomic Analysis of Aberrantly Methylated Genes in Colorectal Cancer,44
GSE17769,An integrative multi-dimensional genetic and epigenetic strategy to identify aberrant genes and pathways in cancer: DNA methylation,10
GSE18081,"CpG site methylation of HCV-cirrhotic, HCV-HCC, and normal liver tissues",87
GSE18458,Genome wide DNA Methylation Study in Cornelia de Lange Syndrome,72
GSE19033,Changes in the Pattern of DNA Methylation Associate with Twin Discordance in SLE,59
GSE19034,EYA4 is a non-small cell lung cancer tumor suppressor located in the susceptibility locus on chromosome 6q,90
GSE19434,DNA methylation distinguishes pathologically normal human tissues,217
GSE19515,Illumina GoldenGate Methylation array data for X-CGD patients and healthy controls,27
GSE19711,Genome wide DNA methylation profiling of United Kingdom Ovarian Cancer Population Study (UKOPS),540
GSE19974,Systematic evaluation of genome-wide methylated DNA enrichment using a CpG island array,17
GSE20067,Genome wide DNA methylation profiling of diabetic nephropathy in type 1 diabetes mellitus,195
GSE20080,Epigenome analysis of normal and preinvasive cervical smear samples,48
GSE20236,Human Aging-associated DNA Hypermethylation Occurs Preferentially at Bivalent Chromatin Domains,93
GSE20242,Human Aging-associated DNA Hypermethylation Occurs Preferentially at Bivalent Chromatin Domains,50
GSE20395,IDH1 mutation defines methylation class and survival in human glioma,138
GSE20712,Epigenetic portraits of human breast cancers (methylation data),123
GSE20713,Epigenetic portraits of human breast cancers,381
GSE20742,Genetic and Epigenetic Somatic Alterations in Head and Neck Squamous Cell Carcinomas Are Globally Coordinated but Not Locally Targeted (GoldenGate methylation),30
GSE20868,Epigenetic portraits of human breast cancers (HCT116 cell line data),6
GSE20872,Methylation data from Down syndrome and non-Down syndrome pediatric acute lymphoblastic leukemia cases and controls,23
GSE20873,Proof of principle of novel technique of methylation analysis,5
GSE20945,Effects of DAC treatment,55
GSE20989,Mesothelioma integrative genomics: DNA methylation,23
GSE21058,Integrated profiling reveals a global correlation between epigenetic and genetic alterations in mesothelioma,115
GSE21094,Genomic profiling in Down syndrome pediatric acute lymphoblastic leukemia,233
GSE21181,Differential methylation profiling of colon tumors,26
GSE21232,DNA methylation profiling of male human pancreatic islets identifies loci for type 2 diabetes,16
GSE21282,Epigenetic and immune function profiles associated with post-traumatic stress disorder,106
GSE21304,Aberrant global methylation patterns affect the molecular pathogenesis and prognosis of human multiple myeloma,190
GSE21395,Global methylation profiling of lymphoblastoid cell lines reveals epigenetic contributions to autism spectrum disorders,31
