"","R","Pvalues"
"TCGA-UCEC",0.0847416702382923,0.0467857783708337
"TCGA-BRCA",0.0152229691893711,0.613697008050924
"TCGA-LGG",-0.00824590231362488,0.852485660389313
"TCGA-CESC",0.00824401009174318,0.886172107572421
"TCGA-STAD",0.127096205202782,0.0137785016126295
"TCGA-ESCA",0.0335788795245633,0.672391830205085
"TCGA-THCA",0.0624608513339928,0.162313278456948
"TCGA-OV",-0.0383971714425291,0.459085615227596
"TCGA-ACC",0.0697115716572354,0.541545682852118
"TCGA-GBM",0.0659813627056976,0.413145173657149
"TCGA-HNSC",-0.0403879896239322,0.367476520073172
"TCGA-PRAD",0.0615566122858776,0.17020638598562
"TCGA-LIHC",-0.103719300193985,0.0458881513216941
"TCGA-BLCA",0.0852894105639853,0.0830432000848526
"TCGA-COAD",0.199999034736639,1.05412184090568e-05
"TCGA-LUSC",-0.0921632598716271,0.0389989486437087
"TCGA-TGCT",0.182993592648168,0.0249990399321226
"TCGA-KIRP",0.0070171561898543,0.905617102615416
"TCGA-KIRC",0.0719133451146164,0.0956545003842434
"TCGA-PAAD",-0.159753951258994,0.0336709976864648
"TCGA-MESO",-0.0249510259305432,0.819618334780302
"TCGA-LUAD",0.00511114496558651,0.906286604020545
"TCGA-THYM",0.0890342344774162,0.335592198524595
"TCGA-SARC",0.0396780894917799,0.524958865812198
"TCGA-CHOL",-0.0797701302504854,0.643746022924157
"TCGA-UCS",-0.00206379016091506,0.987955855973487
"TCGA-PCPG",-0.130965742501797,0.0814203170849835
"TCGA-READ",0.133304650790651,0.0868630844684511
"TCGA-KICH",0.0625860746711654,0.620402142323252
"TCGA-UVM",0.270956333011009,0.0150560584773964
"TCGA-SKCM",0.323466069542577,0.000859671338882229
"TCGA-DLBC",-0.120421394894064,0.414909227518886
