cp	tt	nt	np
142462	NA	1	NA	0.0324074074074074
143016	0.00666666666666667	0.503030303030303	NA	0.00158730158730159
NA	NA	1	NA	0.00317460317460317
NA	0.0185185185185185	0.638888888888889	NA	0.0277777777777778
NA	0.0277777777777778	1	NA	0.00248275862068965
NA	0.00341880341880342	1	0.0028169014084507	0.00344465344465344
NA	NA	0.679166666666666	0.0377836085815712	0.0583333333333333
NA	0.5	1	NA	0.02
NA	0.025	1	0.0112159329140461	0.01125
NA	0.166666666666667	1	0.0114942528735632	0.0555555555555556
NA	NA	0.518518518518518	NA	0.0333333333333334
NA	0.166666666666667	0.638888888888889	0.0204545454545455	0.0222222222222222
NA	0.0416666666666667	0.533333333333333	NA	0.0494708994708995
NA	0.0555555555555556	1	0.00196078431372549	NA
NA	NA	1	NA	0.0555555555555556
NA	0.0555555555555556	1	0.00892857142857143	0.0416666666666667
NA	0.0166666666666667	1	NA	0.0980952380952381
NA	0.0277777777777778	0.583333333333333	0.0128205128205128	0.0416666666666667
NA	NA	1	NA	0.0208333333333333
NA	NA	0.68995004995005	0.0018954248366013	NA
NA	0.152777777777778	0.608333333333334	0.0416666666666667	0.0435185185185185
NA	0.0370370370370371	0.577922077922078	0.0125	0.0324074074074074
NA	NA	1	0.00793650793650794	0.0416666666666667
NA	NA	0.504166666666667	NA	0.00555555555555555
NA	NA	1	NA	0.0555555555555556
NA	NA	1	NA	0.0596296296296297
NA	NA	1	NA	0.0208333333333333
NA	0.00934744268077601	1	0.0021843825249398	0.00416666666666667
NA	NA	1	0.00641025641025641	NA
NA	NA	1	0.00247252747252747	0.00617283950617284
NA	NA	1	NA	0.0555555555555556
NA	0.0113756613756613	1	NA	0.00238095238095238
NA	NA	0.547619047619048	0.00434782608695652	NA
NA	NA	0.638888888888889	0.0326388888888889	NA
NA	NA	0.56	0.00606060606060606	NA
NA	0.138888888888889	1	NA	0.0111111111111111
NA	0.00740740740740741	1	NA	0.0708333333333335
NA	0.00666666666666667	1	0.0277777777777778	0.00999999999999998
NA	NA	0.611111111111111	NA	0.0555555555555556
NA	NA	0.611666666666667	0.10869776232095	0.0890151515151514
NA	NA	1	0.0037037037037037	0.0404093567251462
NA	0.00877639268943618	1	0.157198460638916	0.0220196422881845
NA	0.025	1	0.0289039154314062	0.025
NA	0.0851851851851853	0.507575757575758	0.0611111111111111	0.0185185185185185
NA	0.0555555555555556	0.638888888888889	0.00925925925925926	0.0425925925925926
NA	0.00833333333333333	0.723548581048581	0.00380952380952381	0.0222486772486773
NA	0.0185185185185185	1	0.0499108734402852	NA
NA	0.0555555555555556	0.833333333333333	0.0238095238095238	0.0277777777777778
NA	NA	1	0.0231400966183575	0.0180555555555556
NA	0.0555555555555556	0.527777777777778	0.0087719298245614	0.0424382716049383
NA	NA	0.666666666666667	0.0265151515151515	0.0555555555555556
NA	NA	1	NA	0.00769230769230769
NA	NA	0.534722222222222	0.0101410934744268	0.0238095238095238
NA	0.00740740740740741	0.508730158730159	0.00277777777777778	0.00643107799970545
NA	NA	1	NA	0.0033076923076923
NA	0.0821428571428571	1	0.005906238464378	NA
NA	NA	1	NA	0.0416666666666667
NA	1	1	0.0333333333333333	NA
NA	0.0185185185185185	1	NA	0.0555555555555556
NA	NA	0.514814814814815	0.00497817785051828	NA
NA	NA	0.530634920634921	0.0121457489878543	NA
NA	0.0180555555555556	1	0.00476190476190476	0.0442857142857143
NA	0.0833333333333333	0.638888888888889	0.152777777777778	0.0230113636363636
NA	0.0833333333333333	0.888888888888889	0.105882352941176	0.0740740740740741
NA	NA	0.75	NA	0.0231481481481482
NA	0.213703703703704	0.506666666666667	0.00952380952380952	0.103444444444444
NA	0.0208333333333333	1	0.00775193798449612	0.0277777777777778
NA	0.072222222222222	1	0.00232558139534884	0.05
NA	0.0133333333333333	1	0.0133333333333333	0.0133333333333333
NA	0.025	0.888888888888889	0.0166666666666667	NA
NA	0.24406746031746	0.771111111111111	NA	0.0188558201058201
NA	NA	1	NA	0.025
NA	0.0246794871794872	0.572222222222222	0.0277777777777778	0.0125
NA	NA	1	NA	0.02
NA	0.0277777777777778	0.712962962962963	NA	0.037037037037037
NA	0.5	1	0.00227272727272727	0.00888888888888889
NA	NA	1	0.0147562582345191	NA
NA	0.275925925925926	0.555555555555555	0.0072463768115942	NA
NA	0.00952380952380952	1	0.00158730158730159	NA
NA	NA	1	0.0019047619047619	NA
NA	0.0319444444444445	0.568518518518518	NA	0.076388888888889
NA	0.0400793650793651	1	NA	0.036250734861846
NA	0.0808928571428572	0.833333333333333	0.0749275859053501	0.00625
NA	NA	0.607619807093491	NA	0.00952380952380952
