,Cancer,Normal,delta,Pvalue.ttest,p.adjust.BH,Pvalue.wilcox,a.shapiro.pvalue,b.shapiro.pvalue
PEG3|5178,35.220533932,216.2777493281,-181.0572153961,8.31062428202158E-05,0.0002876841,4.28814949518296E-08,3.00732416189635E-07,0.4342318057
IFFO1|25900,245.8248102339,367.8437195949,-122.0189093611,0.0557764027,0.0893597599,0.0006577028,3.73592960538989E-10,0.6389135653
TRIM58|25893,4.0321968132,8.8806124705,-4.8484156573,0.0278578629,0.0487263404,0.0084911567,3.17018187925769E-05,0.9336183145
SIM1|6492,0.9871034698,3.4210800547,-2.4339765848,0.1407664324,0.1975444719,0.0093223874,1.48173722071736E-12,0.0150358319
RBMY1F|159163,0.0002252262,0.000198821,2.64051829883864E-05,0.717206999,0.7610593806,0.8343676788,0.1549465172,0.4847626384
HOXD12|3238,0.0962054162,0.0002184121,0.0959870041,0.1052698905,0.1541031103,0.7910827706,7.91326131085996E-12,0.9541963843
UMOD|7369,0.1204958019,0.0001812548,0.120314547,0.055554821,0.0890325525,0.3626757437,3.90330337678822E-11,0.7501174035
LHX8|431707,0.1624839817,0.0001733604,0.1623106213,0.1734357895,0.2353632226,0.3777729616,2.23828165511937E-12,0.5402372782
FGF8|2253,0.4870834037,0.2402480878,0.2468353159,0.2460252558,0.3152040267,0.9888804232,7.63709077252676E-08,1.84217586263167E-05
POU4F3|5459,0.9874823582,0.219765477,0.7677168812,0.0052850259,0.0112477315,0.0057681569,1.42408517434263E-07,2.97516742787643E-05
TRH|7200,1.2183244859,0.2425502274,0.9757742585,0.0745778083,0.1151678814,0.0440792406,1.14729776564498E-10,3.23099263885129E-07
HIST1H3G|8355,1.2650778315,0.000294852,1.2647829795,0.0745769315,0.1151678814,0.9444440588,1.32870190041525E-11,0.725152554
DMRTA2|63950,2.7012603901,0.0002428614,2.7010175286,0.2273624092,0.2950867706,0.1628200343,7.9873282203692E-13,0.1280761291
NR2E1|7101,3.680257413,0.60084046,3.0794169529,0.0928218033,0.1388404811,0.6451730335,5.3729526002302E-11,0.0088947055
GSC|145258,4.1861347877,0.4356796999,3.7504550877,0.0357743881,0.0607463372,0.0582719343,9.23626476164435E-11,0.0031708907
HOXA9|3205,6.0927970385,0.9117818723,5.1810151662,0.0071063785,0.0146398813,0.0122442128,1.13869321080585E-08,0.0029931457
DLX5|1749,6.6882032949,0.7077032018,5.9805000931,0.0060642079,0.0127226907,0.0022230534,3.21804354574215E-09,0.0009272917
SLC2A14|144195,22.9539518048,15.1842827174,7.7696690873,0.2583463272,0.327899879,0.7064703386,1.23422624689672E-09,0.4991499653
LHX1|3975,8.8925759212,0.0001603164,8.8924156048,0.0474897927,0.0776964645,0.0666235162,3.3656100110668E-11,0.7078247116
HOXA1|3198,15.7038230591,5.5547887976,10.1490342615,0.011990482,0.0232263974,0.1808962974,4.12907351562709E-08,0.4608832865
HOXD4|3233,10.3947349889,0.2425116921,10.1522232968,0.0111504405,0.0218046578,0.0004391562,5.97048208877548E-10,3.23072675102112E-07
SHOX2|6474,13.5220658751,0.989007376,12.5330584991,3.99633453517892E-05,0.0001508249,6.52024415346504E-06,4.38706694987745E-07,0.014987364
PITX2|5308,14.0305838201,1.0034067623,13.0271770578,0.0333950925,0.0571457447,0.0440792406,8.27636844441177E-11,0.0469891828
ADCY2|108,13.538273895,0.3348392828,13.2034346123,0.042745512,0.0709350231,1.90123007091691E-05,1.69124432176228E-11,0.0004842056
GRIN1|2902,17.1447886762,0.6147177815,16.5300708947,0.0001634006,0.0005224697,2.18921316333025E-07,3.99399001536265E-08,0.0004511191
TFAP2E|339488,26.1938554426,3.3020353344,22.8918201082,0.0026432718,0.0061045009,3.39779424473576E-05,2.6588717763717E-09,0.0087526508
AHRR|57491,50.2386196385,11.4848277121,38.7537919265,0.000747436,0.0019996883,0.0005760948,6.28724411525468E-08,0.0444101293
OTX1|5013,58.776989556,2.4167673923,56.3602221637,6.2803217140741E-08,5.76918501618145E-07,1.51213692724873E-07,0.000066978,0.0001021186
ZNF518B|85460,210.8414408923,115.9274433153,94.9139975771,0.0275775515,0.0483307477,0.9222800653,1.08148129924947E-06,0.3743467311
MNX1|3110,110.2105533653,0.3560482176,109.8545051477,0.000021003,8.63808000559296E-05,4.28814949518296E-08,1.24117468095786E-09,0.0001876276
BCAN|63827,136.5722221447,1.6129606747,134.95926147,0.0016382075,0.0040026225,2.2569207869384E-09,0.000000001,0.0987115994
ARRB2|409,1125.3634689052,861.0426868483,264.3207820568,0.2820971331,0.3521627553,0.748411,7.92994520235598E-11,0.8855569153
SPEG|10290,931.7952809319,24.2103160501,907.5849648818,3.36236725658206E-06,0.000017678,5.98084008538676E-07,2.44936185354645E-06,0.0146588014
